,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y,string
46,Lund_01986,Building,Architecture,Daytime,Metropolitan area,Human settlement,Urban design,City,Urban area,Commercial building,Corporate headquarters,Sony Mobile Commu,John Wang, Jun 2013,"Building,Architecture,Daytime,Metropolitan area,Human settlement,Urban design,City,Urban area,Commercial building,Corporate headquarters"
47,Lund_01125,Property,House,Landmark,Architecture,Building,Home,Town,Sky,Estate,Real estate,,, Jun 2017,"Property,House,Landmark,Architecture,Building,Home,Town,Sky,Estate,Real estate"
48,Lund_01397,Landmark,Building,Architecture,Sky,Water,Palace,Classical architecture,Tree,Mansion,Estate,Lundagérd,Joel Thggersen, Jun 2010,"Landmark,Building,Architecture,Sky,Water,Palace,Classical architecture,Tree,Mansion,Estate"
49,Lund_02306,Land lot,Grassland,Pasture,Natural environment,Field,Natural landscape,Grass,Plain,Meadow,Prairie,Stadsodlingen pa Br,"{, ) Sanja Blomberg", Jun 2017,"Land lot,Grassland,Pasture,Natural environment,Field,Natural landscape,Grass,Plain,Meadow,Prairie"
50,Lund_01735,Property,Tree,Architecture,Estate,Sky,Building,House,Botany,Grass,Garden,Lundagérd ¢,@ Kiryl Shantyka, Jun 2017,"Property,Tree,Architecture,Estate,Sky,Building,House,Botany,Grass,Garden"
51,Lund_01729,Landmark,Sky,Architecture,Building,Church,City,Tower,Place of worship,Cathedral,Facade,[T T o1 T T T,SIS TS, Jun 2018,"Landmark,Sky,Architecture,Building,Church,City,Tower,Place of worship,Cathedral,Facade"
52,Lund_01259,Building,Landmark,Property,Architecture,Mansion,Palace,Estate,House,Spring,Official residence,Lundagérd,Peter Wolf, Jun 2018,"Building,Landmark,Property,Architecture,Mansion,Palace,Estate,House,Spring,Official residence"
53,Lund_02784,Inflatable,bounce house,Games,Outdoor play equipment,Fun,Recreation,Leisure,,,,Klostergérdens IP,42‘ Mats Lundstrom, Jun 2017,
54,Lund_02900,Property,Land lot,Natural landscape,Grass,Nature reserve,Tree,Farm,Yard,Real estate,Rural area,Greenhouse :,@ﬁ». ST, Jun 2017,"Property,Land lot,Natural landscape,Grass,Nature reserve,Tree,Farm,Yard,Real estate,Rural area"
55,Lund_01483,Fountain,Water feature,Water,Grass,Tree,Garden,Park,Landscape,Leisure,Landscaping,Stadsparken,Birgitta Porsbrin, Jun 2017,"Fountain,Water feature,Water,Grass,Tree,Garden,Park,Landscape,Leisure,Landscaping"
56,Lund_01023,Property,Estate,Building,House,Courtyard,Stately home,Manor house,Architecture,Tree,Mansion,Kulturen,:g' Martin Andersso, Jun 2017,"Property,Estate,Building,House,Courtyard,Stately home,Manor house,Architecture,Tree,Mansion"
57,Lund_00818,Landmark,Building,Palace,Architecture,Mansion,Public space,Plaza,Estate,City,House,Lundagérd c,g‘% Alicja Halgtka, Jun 2017,"Landmark,Building,Palace,Architecture,Mansion,Public space,Plaza,Estate,City,House"
58,Lund_00488,Sky,Property,Landmark,Estate,Building,Architecture,Mansion,Cloud,Town,House,Lundagérd,C Christoffer Want:, Jun 2017,"Sky,Property,Landmark,Estate,Building,Architecture,Mansion,Cloud,Town,House"
59,Lund_01238,Landmark,Building,Architecture,Historic site,Classical architecture,Facade,Sky,Tower,City,Plaza,Lund Cathedral ¢,@. Ronald T., Jun 2018,"Landmark,Building,Architecture,Historic site,Classical architecture,Facade,Sky,Tower,City,Plaza"
60,Lund_02740,Canopy,Tent,Games,Grass,Inflatable,Shade,Fair,,,,Klostergérdens IP,42‘ Mats Lundstrom, Jun 2017,
61,Lund_02380,Vegetation,Natural environment,Land lot,Biome,Rural area,Meadow,Pasture,Grass,Tree,Grassland,Rinnebick Gorge 2,2 IR, Jun 2015,"Vegetation,Natural environment,Land lot,Biome,Rural area,Meadow,Pasture,Grass,Tree,Grassland"
62,Lund_02368,Water,Vegetation,Natural landscape,Natural environment,Nature reserve,Lake,Sky,Wilderness,Water resources,River,&) Mats Syde,&) Mats Syde, Jun 2017,"Water,Vegetation,Natural landscape,Natural environment,Nature reserve,Lake,Sky,Wilderness,Water resources,River"
63,Lund_02215,Transport,Architecture,Scaffolding,Construction,Vehicle,Photography,Building,Panorama,Stadium,Sport venue,Kollektgatan,Matthew H. Motz, Jun 2018,"Transport,Architecture,Scaffolding,Construction,Vehicle,Photography,Building,Panorama,Stadium,Sport venue"
64,Lund_00565,Landmark,Building,Architecture,Property,Town,Estate,Stately home,City,Château,House,Katedralskolan,% Zina Mazurkevyc, Jun 2018,"Landmark,Building,Architecture,Property,Town,Estate,Stately home,City,Château,House"
65,Lund_01330,Tree,Medieval architecture,Building,Architecture,Estate,Woody plant,Château,Plant,Historic site,Church,Lundagérd,Nigel Westwood, Jun 2018,"Tree,Medieval architecture,Building,Architecture,Estate,Woody plant,Château,Plant,Historic site,Church"
66,Lund_01408,House,Property,Home,Building,Residential area,Architecture,Estate,Town,Cottage,Rural area,Kulturen,(Z‘w Alexandra von Pe, Jun 2017,"House,Property,Home,Building,Residential area,Architecture,Estate,Town,Cottage,Rural area"
67,Lund_02868,Building,Classical architecture,Landmark,Architecture,Facade,Palace,House,City,Château,Tourist attraction,Genial Barani,Genial Barani, Jun 2017,"Building,Classical architecture,Landmark,Architecture,Facade,Palace,House,City,Château,Tourist attraction"
68,Lund_00751,Building,Classical architecture,Château,Landmark,Palace,Mansion,Architecture,Estate,Manor house,Official residence,Lundagérd {,Lundagérd {, Jun 2017,"Building,Classical architecture,Château,Landmark,Palace,Mansion,Architecture,Estate,Manor house,Official residence"
69,Lund_02696,Sky,Pole,Cloud,Event,Tree,Adaptation,Tradition,Ceremony,,,L TR DR,BB BB Beigi, Jun 2017,
70,Lund_00953,Landmark,Mansion,Estate,Building,Architecture,Palace,Water,Tourism,Stately home,Château,Lundagérd,@ Thomas Kamph, Jun 2014,"Landmark,Mansion,Estate,Building,Architecture,Palace,Water,Tourism,Stately home,Château"
71,Lund_00683,Landmark,Building,Architecture,Town,Facade,City,Medieval architecture,Church,Sky,Cathedral,Lundagérd,< RN YR, Jun 2017,"Landmark,Building,Architecture,Town,Facade,City,Medieval architecture,Church,Sky,Cathedral"
72,Lund_02764,Sky,Grass,Cloud,Team,Crowd,Recreation,Competition event,Mountain,Vehicle,Grassland,Klostergérdens IP,il VPN YT 1o o)), Jun 2018,"Sky,Grass,Cloud,Team,Crowd,Recreation,Competition event,Mountain,Vehicle,Grassland"
73,Lund_02366,Land lot,Grass,Grassland,Pasture,Lawn,Rural area,Farm,Tree,Meadow,Recreation,Lunds Pistolklubb :,@ Jonas Ezzi, Jun 2016,"Land lot,Grass,Grassland,Pasture,Lawn,Rural area,Farm,Tree,Meadow,Recreation"
74,Lund_01191,Estate,Building,Grass,Architecture,Mansion,Palace,Castle,Tree,Fortification,Historic site,Stadsparken,padma ravindran, Jun 2017,"Estate,Building,Grass,Architecture,Mansion,Palace,Castle,Tree,Fortification,Historic site"
75,Lund_02088,Town,Building,Property,Human settlement,Mixed-use,Street,Neighbourhood,City,Cobblestone,Public space,Lundagérd,Q‘* Alexandra Balab:, Jun 2014,"Town,Building,Property,Human settlement,Mixed-use,Street,Neighbourhood,City,Cobblestone,Public space"
76,Lund_03136,Building,Architecture,Facade,Commercial building,Sky,Company,Corporate headquarters,Car,,,Rinnebéck Gorge,Miroslav Bobrik, Jun 2017,
77,Lund_02613,Natural landscape,Grassland,Sky,Prairie,Natural environment,Meadow,Field,Grass,Pasture,Evening,L TR TR,\ARYIE T EEG RV ED, Jun 2018,"Natural landscape,Grassland,Sky,Prairie,Natural environment,Meadow,Field,Grass,Pasture,Evening"
78,Lund_01630,Building,Property,House,Architecture,Town,Home,Facade,Real estate,Estate,Window,Kulturen,(Z‘w Alexandra von Pe, Jun 2017,"Building,Property,House,Architecture,Town,Home,Facade,Real estate,Estate,Window"
79,Lund_01333,Classical architecture,Building,Landmark,Architecture,Facade,Palace,City,Official residence,Seat of local government,Presidential palace,Lundagérd,(E SRS IR E RNt, Jun 2013,"Classical architecture,Building,Landmark,Architecture,Facade,Palace,City,Official residence,Seat of local government,Presidential palace"
80,Lund_00605,Building,Landmark,Architecture,Property,Palace,Mansion,House,Estate,Facade,Official residence,Lundagérd,R N Y VBT e, Jun 2011,"Building,Landmark,Architecture,Property,Palace,Mansion,House,Estate,Facade,Official residence"
81,Lund_00937,Landmark,Estate,Building,Sky,Château,Architecture,Tree,Palace,Grass,Castle,Stadsparken ¢,f} Filipe Naif, Jun 2018,"Landmark,Estate,Building,Sky,Château,Architecture,Tree,Palace,Grass,Castle"
82,Lund_00671,Building,Estate,Palace,Architecture,Mansion,Property,Landmark,Official residence,Classical architecture,Stately home,Lundagérd ¢,@ Kiryl Shantyka, Jun 2017,"Building,Estate,Palace,Architecture,Mansion,Property,Landmark,Official residence,Classical architecture,Stately home"
83,Lund_02217,Water resources,Waterway,Water,River,Canal,Bank,Architecture,Tree,Watercourse,Sky,Killbybadet g,Gl Daniel Kretz, Jun 2017,"Water resources,Waterway,Water,River,Canal,Bank,Architecture,Tree,Watercourse,Sky"
84,Lund_03038,Road,Infrastructure,Sky,Asphalt,Land lot,Road surface,Thoroughfare,,,,MAX IV Laboratory,Florian Weissbac, Jun 2018,
85,Lund_03164,Vegetation,Natural landscape,Nature,Nature reserve,Plant community,Wilderness,Biome,Natural environment,Riparian zone,Tree,Rinnebiéck Gorge,% Daniel Nilsson, Jun 2018,"Vegetation,Natural landscape,Nature,Nature reserve,Plant community,Wilderness,Biome,Natural environment,Riparian zone,Tree"
86,Lund_02013,Property,Building,House,Brick,Landmark,Roof,Brickwork,Home,Architecture,Real estate,Crafoord Auktioner i,Niklas Ljungkvist, Jun 2011,"Property,Building,House,Brick,Landmark,Roof,Brickwork,Home,Architecture,Real estate"
87,Lund_02046,Architecture,Building,Transport,Town,House,Vehicle,Facade,Tourism,City,Neighbourhood,Harrys,U André Malmgren, Jun 2018,"Architecture,Building,Transport,Town,House,Vehicle,Facade,Tourism,City,Neighbourhood"
88,Lund_02233,Building,Estate,Property,Manor house,Mansion,Stately home,Château,Architecture,Palace,House,Lundagérd,Manuel Barbosa, Jun 2017,"Building,Estate,Property,Manor house,Mansion,Stately home,Château,Architecture,Palace,House"
89,Lund_03089,Fountain,Water,Water feature,Leisure,Water resources,Park,Fun,Recreation,Grass,Tree,Plaskedamm pa Klos,B Bengt Rosberg, Jun 2016,"Fountain,Water,Water feature,Leisure,Water resources,Park,Fun,Recreation,Grass,Tree"
90,Lund_01007,Building,Medieval architecture,Architecture,Landmark,Church,Place of worship,Cathedral,Facade,Steeple,Spire,\/ | Vincenzo De Bert,\/ | Vincenzo De Bert, Jun 2017,"Building,Medieval architecture,Architecture,Landmark,Church,Place of worship,Cathedral,Facade,Steeple,Spire"
91,Lund_01076,Building,Palace,Estate,Official residence,Architecture,Mansion,Stately home,Classical architecture,House,Presidential palace,Lundagérd,Stefanos Karidak, Jun 2017,"Building,Palace,Estate,Official residence,Architecture,Mansion,Stately home,Classical architecture,House,Presidential palace"
92,Lund_00434,Building,Landmark,Estate,Palace,Property,Architecture,Stately home,Mansion,Official residence,City,Lund Cathedral,G Goran Wangenhe, Jun 2017,"Building,Landmark,Estate,Palace,Property,Architecture,Stately home,Mansion,Official residence,City"
93,Lund_01381,Property,Building,Public space,Architecture,Tree,Grass,Garden,House,Estate,Park,Lundagérd,& Nikola Mladenov, Jun 2011,"Property,Building,Public space,Architecture,Tree,Grass,Garden,House,Estate,Park"
94,Lund_02772,Tree,Flag,Grass,Pole,Land lot,Woody plant,Plant,Park,Landscape,Lawn,,, Jun 2017,"Tree,Flag,Grass,Pole,Land lot,Woody plant,Plant,Park,Landscape,Lawn"
95,Lund_01144,Body of water,Waterway,Canal,River,Town,Property,Residential area,Human settlement,Bank,Neighbourhood,J. T,.}gg Genial Barani, Jun 2017,"Body of water,Waterway,Canal,River,Town,Property,Residential area,Human settlement,Bank,Neighbourhood"
96,Lund_00246,Landmark,Building,Estate,Palace,Official residence,Mansion,Stately home,Presidential palace,Classical architecture,Architecture,Lundagérd 8,g NI LYo, Jun 2014,"Landmark,Building,Estate,Palace,Official residence,Mansion,Stately home,Presidential palace,Classical architecture,Architecture"
97,Lund_01906,Grassland,Sport venue,Land lot,Pasture,Grass,Plain,Grass family,Lawn,Meadow,Field,Sankt Hans Hill ¢,Jonas Lundin, Jun 2017,"Grassland,Sport venue,Land lot,Pasture,Grass,Plain,Grass family,Lawn,Meadow,Field"
98,Lund_01379,Property,Building,Public space,Architecture,Tree,Grass,Garden,House,Estate,Park,Lundagérd,& Nikola Mladenov, Jun 2011,"Property,Building,Public space,Architecture,Tree,Grass,Garden,House,Estate,Park"
99,Lund_03182,Building,Mansion,Property,Estate,Landmark,House,Architecture,Palace,Home,Sky,Lundagérd,""" a, Pavlo Sviatnenkc", Jun 2018,"Building,Mansion,Property,Estate,Landmark,House,Architecture,Palace,Home,Sky"
100,Lund_02640,Grass,Competition event,Spring,Recreation,Physical fitness,Lawn,Summer,Leisure,Games,Park,Klostergérdens IP,il VPN YT 1o 3 (o)), Jun 2017,"Grass,Competition event,Spring,Recreation,Physical fitness,Lawn,Summer,Leisure,Games,Park"
101,Lund_02941,Sky,Residential area,Land lot,Cloud,Road,Grass,Asphalt,Tree,Suburb,Sidewalk,Rabysjon och Raby s,S ) Senad Basic, Jun 2017,"Sky,Residential area,Land lot,Cloud,Road,Grass,Asphalt,Tree,Suburb,Sidewalk"
102,Lund_01731,Classical architecture,Architecture,Building,Landmark,Facade,City,Courthouse,Tourist attraction,Monument,Seat of local government,Lundagérd,@ Juca Felix Galino, Jun 2016,"Classical architecture,Architecture,Building,Landmark,Facade,City,Courthouse,Tourist attraction,Monument,Seat of local government"
103,Lund_01905,Building,Property,Estate,Mansion,House,Architecture,Facade,Tree,Palace,Real estate,Lundagérd,@ Juca Felix Galino, Jun 2016,"Building,Property,Estate,Mansion,House,Architecture,Facade,Tree,Palace,Real estate"
104,Lund_02837,Wall,Landmark,Medieval architecture,Sky,Historic site,Architecture,Building,Church,Tree,Place of worship,Klosterkyrkan ¢,& saad al saifi, Jun 2016,"Wall,Landmark,Medieval architecture,Sky,Historic site,Architecture,Building,Church,Tree,Place of worship"
105,Lund_00337,Landmark,Estate,Mansion,Building,Architecture,Official residence,Stately home,Palace,Classical architecture,Presidential palace,Lundagérd,R ROSA TRULLOLS, Jun 2013,"Landmark,Estate,Mansion,Building,Architecture,Official residence,Stately home,Palace,Classical architecture,Presidential palace"
106,Lund_00528,Estate,Building,Property,Mansion,Palace,House,Château,Stately home,Architecture,Manor house,Lundagérd |,@ Mr.Roman Lak, Jun 2016,"Estate,Building,Property,Mansion,Palace,House,Château,Stately home,Architecture,Manor house"
107,Lund_00410,Landmark,Architecture,Building,City,Town,Sky,Tower,Facade,Downtown,Classical architecture,Lund Cathedral,{j Pascal BASROGE, Jun 2018,"Landmark,Architecture,Building,City,Town,Sky,Tower,Facade,Downtown,Classical architecture"
108,Lund_02395,Sport venue,First-class cricket,Team sport,Soccer,Player,Grass,Sports,Team,Ball game,Soccer-specific stadium,Klostergérdens IP,42‘ Mats Lundstrom, Jun 2017,"Sport venue,First-class cricket,Team sport,Soccer,Player,Grass,Sports,Team,Ball game,Soccer-specific stadium"
109,Lund_00756,Town,Architecture,Building,Landmark,City,Sky,Human settlement,Street,Public space,Neighbourhood,Kulturkrogen,"{:’, Pascal BASROGE", Jun 2018,"Town,Architecture,Building,Landmark,City,Sky,Human settlement,Street,Public space,Neighbourhood"
110,Lund_01124,Building,Town,Landmark,Architecture,Sky,Church,Wall,Urban area,Tree,City,,, Jun 2017,"Building,Town,Landmark,Architecture,Sky,Church,Wall,Urban area,Tree,City"
111,Lund_01654,Sky,Property,House,Architecture,Tree,Building,Cloud,Home,Botany,Estate,Lundagérd,Marco Piccinini, Jun 2018,"Sky,Property,House,Architecture,Tree,Building,Cloud,Home,Botany,Estate"
112,Lund_03153,Natural landscape,Natural environment,Grassland,Pasture,Rural area,Highland,Hill,Bank,Landscape,Grass,Stadsodlingen pa Br,Sanja Blomberg, Jun 2017,"Natural landscape,Natural environment,Grassland,Pasture,Rural area,Highland,Hill,Bank,Landscape,Grass"
