,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y,string
34,Lund_02760,Sport venue,Net,Player,Grass,Team sport,Goal,Stadium,Fence,Sports,Team,Klostergérdens IP,M) Matthew H. Motz, Apr 2018,"Sport venue,Net,Player,Grass,Team sport,Goal,Stadium,Fence,Sports,Team"
35,Lund_02253,Natural landscape,Road,Land lot,Trail,Property,Nature reserve,Thoroughfare,Dirt road,Tree,Rural area,[T ¢,. Sookyong Lee, Apr 2017,"Natural landscape,Road,Land lot,Trail,Property,Nature reserve,Thoroughfare,Dirt road,Tree,Rural area"
36,Lund_00595,Building,Sky,Property,Architecture,Landmark,Estate,Palace,Human settlement,City,Stately home,Lundagérd ¢,"""\ Katerina Morfi .", Apr 2017,"Building,Sky,Property,Architecture,Landmark,Estate,Palace,Human settlement,City,Stately home"
37,Lund_01806,Landmark,Medieval architecture,Architecture,Building,Classical architecture,Cathedral,Facade,Gothic architecture,Town,Place of worship,Lund Cathedral,A Adeel Tajammul, Apr 2017,"Landmark,Medieval architecture,Architecture,Building,Classical architecture,Cathedral,Facade,Gothic architecture,Town,Place of worship"
38,Lund_00231,Landmark,Building,Architecture,Sky,City,Town,Human settlement,Facade,Palace,Classical architecture,[T T VT,%~ Juliane Vigan6, Apr 2018,"Landmark,Building,Architecture,Sky,City,Town,Human settlement,Facade,Palace,Classical architecture"
39,Lund_02248,Water resources,Body of water,Water,Bank,River,Waterway,Natural environment,Natural landscape,Reservoir,Watercourse,Nobbelbvs mosse,:&‘ Shaon Mazi, Apr 2017,"Water resources,Body of water,Water,Bank,River,Waterway,Natural environment,Natural landscape,Reservoir,Watercourse"
40,Lund_00576,Estate,Building,Landmark,Mansion,Architecture,Stately home,Sky,Palace,Water,Château,Lundagérd,@ Bjarne Rosengrel, Apr 2017,"Estate,Building,Landmark,Mansion,Architecture,Stately home,Sky,Palace,Water,Château"
41,Lund_02943,Field,Land lot,Soil,Plain,Rural area,Line,Road,Tree,Farm,Agriculture,Nobbelbvs mosse,:&‘ Shaon Mazi, Apr 2017,"Field,Land lot,Soil,Plain,Rural area,Line,Road,Tree,Farm,Agriculture"
42,Lund_01440,Pond,Bank,Natural landscape,Tree,Spring,Waterway,Botany,Botanical garden,Water,Garden,Botanical Garden,FRiRf, Apr 2018,"Pond,Bank,Natural landscape,Tree,Spring,Waterway,Botany,Botanical garden,Water,Garden"
43,Lund_00352,Landmark,Building,Medieval architecture,Architecture,Stately home,Castle,Château,Estate,Palace,Historic house,Lundagérd {,&: SERAP PEKER, Apr 2018,"Landmark,Building,Medieval architecture,Architecture,Stately home,Castle,Château,Estate,Palace,Historic house"
44,Lund_02984,Grassland,Plain,Sky,Field,Natural environment,Prairie,Steppe,Natural landscape,Land lot,Pasture,Nobbel6vs mosse,@ Jian Wang, Apr 2017,"Grassland,Plain,Sky,Field,Natural environment,Prairie,Steppe,Natural landscape,Land lot,Pasture"
45,Lund_02291,Body of water,Natural landscape,Water resources,Freshwater marsh,Water,Natural environment,Bank,Fen,Marsh,Nature reserve,Nobbelbvs mosse,:&‘ Shaon Mazi, Apr 2017,"Body of water,Natural landscape,Water resources,Freshwater marsh,Water,Natural environment,Bank,Fen,Marsh,Nature reserve"
46,Lund_01174,Sky,Cloud,Landmark,Architecture,Town,Wilderness,Tree,Mountain,Urban area,City,Lundagérd g,ﬁ' paul fackler, Apr 2018,"Sky,Cloud,Landmark,Architecture,Town,Wilderness,Tree,Mountain,Urban area,City"
47,Lund_01441,Building,Estate,Mansion,Landmark,Classical architecture,Palace,Château,Architecture,Stately home,Official residence,Lundagérd,Yaroslav Melekh, Apr 2014,"Building,Estate,Mansion,Landmark,Classical architecture,Palace,Château,Architecture,Stately home,Official residence"
48,Lund_02406,Building,Commercial building,,,,,,,,,L RN LT,    , Apr 2017,
49,Lund_02659,Property,Land lot,House,Residential area,Real estate,Home,Building,Estate,Roof,Neighbourhood,Lund Vérpinge by,(é\; NG T LR, Apr 2010,"Property,Land lot,House,Residential area,Real estate,Home,Building,Estate,Roof,Neighbourhood"
50,Lund_02861,Estate,Property,Landmark,Building,Architecture,Mansion,House,Tree,Grass,Castle,Lundagérd 9,M Maria Klanac, Apr 2018,"Estate,Property,Landmark,Building,Architecture,Mansion,House,Tree,Grass,Castle"
51,Lund_02446,Tree,Property,Natural landscape,Residential area,Sky,Architecture,Grass,House,Road,Woody plant,HSB BRF Linero I Lui,9 Travel to, Apr 2017,"Tree,Property,Natural landscape,Residential area,Sky,Architecture,Grass,House,Road,Woody plant"
52,Lund_00008,Landmark,Spire,Building,Architecture,Steeple,Church,Place of worship,Parish,Tree,Sky,%~ Juliane Vigané,%~ Juliane Vigané, Apr 2018,"Landmark,Spire,Building,Architecture,Steeple,Church,Place of worship,Parish,Tree,Sky"
53,Lund_00720,Estate,Building,Landmark,Property,Sky,Mansion,Palace,Stately home,Architecture,House,Lundagérd,@ Bjarne Rosengrel, Apr 2017,"Estate,Building,Landmark,Property,Sky,Mansion,Palace,Stately home,Architecture,House"
54,Lund_02542,Land lot,Pasture,Grassland,Natural environment,Meadow,Natural landscape,Grass,Tree,Prairie,Farm,Shaon Mazi,Shaon Mazi, Apr 2017,"Land lot,Pasture,Grassland,Natural environment,Meadow,Natural landscape,Grass,Tree,Prairie,Farm"
55,Lund_02035,Property,Town,Building,House,Neighbourhood,Home,Real estate,Architecture,Road,Street,B Malmgren's Cycle :,# Viktor Erik Jense, Apr 2017,"Property,Town,Building,House,Neighbourhood,Home,Real estate,Architecture,Road,Street"
56,Lund_00415,Metropolitan area,Urban area,City,Cityscape,Metropolis,Human settlement,Daytime,Aerial photography,Building,Urban design,Beautiful view from *,R Robbert Biere, Apr 2017,"Metropolitan area,Urban area,City,Cityscape,Metropolis,Human settlement,Daytime,Aerial photography,Building,Urban design"
57,Lund_02447,Transport,Public space,Building,Architecture,Bus stop,City,Facade,Shade,Glass,Kiosk,Linero pub & pizzeri,LR R EFA ¢, Apr 2018,"Transport,Public space,Building,Architecture,Bus stop,City,Facade,Shade,Glass,Kiosk"
58,Lund_01078,Residential area,Sky,Daytime,Architecture,Urban area,Property,Tree,Metropolitan area,Condominium,Neighbourhood,Bjeredsparken ¢,@ NI R, Apr 2018,"Residential area,Sky,Daytime,Architecture,Urban area,Property,Tree,Metropolitan area,Condominium,Neighbourhood"
59,Lund_01823,Landmark,Architecture,Building,Medieval architecture,Classical architecture,Sky,Church,Facade,Place of worship,Historic site,[T T o1 T T T I,[T T o1 T T T I, Apr 2018,"Landmark,Architecture,Building,Medieval architecture,Classical architecture,Sky,Church,Facade,Place of worship,Historic site"
60,Lund_02238,Tree,Land lot,Grass,Rural area,Meadow,Church,Plant,Spire,Pole,Building,Shaon Mazi,Shaon Mazi, Apr 2017,"Tree,Land lot,Grass,Rural area,Meadow,Church,Plant,Spire,Pole,Building"
61,Lund_01240,Landmark,Medieval architecture,Architecture,Building,Classical architecture,Historic site,Place of worship,Facade,Church,Cathedral,[T T o1 T T T,melonhayes, Apr 2017,"Landmark,Medieval architecture,Architecture,Building,Classical architecture,Historic site,Place of worship,Facade,Church,Cathedral"
62,Lund_02093,Bank,Water,Waterway,Pond,House,Tree,Watercourse,River,Reflection,Spring,Botanical Garden,6 SN YN, Apr 2015,"Bank,Water,Waterway,Pond,House,Tree,Watercourse,River,Reflection,Spring"
63,Lund_00478,Landmark,Architecture,Public space,Building,Plaza,Town square,Tree,City,Fountain,Memorial,Lundagérd 9,% V. Jamile, Apr 2009,"Landmark,Architecture,Public space,Building,Plaza,Town square,Tree,City,Fountain,Memorial"
64,Lund_00247,Estate,Building,Mansion,Property,Palace,Landmark,Stately home,Official residence,Château,Architecture,Lundagérd,% William Térneber, Apr 2018,"Estate,Building,Mansion,Property,Palace,Landmark,Stately home,Official residence,Château,Architecture"
65,Lund_00014,Landmark,Medieval architecture,Architecture,Building,Place of worship,Classical architecture,Church,Sky,Facade,Cathedral,%~ Juliane Vigané,%~ Juliane Vigané, Apr 2018,"Landmark,Medieval architecture,Architecture,Building,Place of worship,Classical architecture,Church,Sky,Facade,Cathedral"
66,Lund_02834,Landmark,Statue,Building,Estate,Architecture,Monument,Mansion,House,Sculpture,Castle,Lund Cathedral :,Hauke Salmen, Apr 2017,"Landmark,Statue,Building,Estate,Architecture,Monument,Mansion,House,Sculpture,Castle"
67,Lund_00229,Landmark,Building,Palace,Estate,Architecture,Classical architecture,Mansion,Stately home,Official residence,Château,% William Térneber,% William Térneber, Apr 2018,"Landmark,Building,Palace,Estate,Architecture,Classical architecture,Mansion,Stately home,Official residence,Château"
68,Lund_01772,Building,Architecture,Mixed-use,City,,,,,,,Espressohouse Lund,Michael Anderss, Apr 2017,
69,Lund_00845,Estate,Building,Landmark,Palace,Mansion,Stately home,Architecture,Château,Official residence,Castle,Lundagérd 9,P | Patrik Barnes, Apr 2017,"Estate,Building,Landmark,Palace,Mansion,Stately home,Architecture,Château,Official residence,Castle"
70,Lund_00511,Estate,Building,Mansion,Palace,Architecture,Official residence,Stately home,House,Sky,Classical architecture,Lundagérd,’ Lisa Vult von Ste, Apr 2017,"Estate,Building,Mansion,Palace,Architecture,Official residence,Stately home,House,Sky,Classical architecture"
71,Lund_02508,Building,Fast food,Retail,Business,Advertising,Facade,Fast food restaurant,,,,CircleK,m  meelis melsusi@, Apr 2018,
72,Lund_01902,Town,City,Human settlement,Landmark,Town square,Building,Public space,Plaza,Architecture,Street,Espresso House Stol,ZE N (Pe e, Apr 2018,"Town,City,Human settlement,Landmark,Town square,Building,Public space,Plaza,Architecture,Street"
73,Lund_02828,Building,Landmark,Architecture,City,Property,Town,Human settlement,Stately home,Estate,Urban area,Lundagérd {,"""\ Katerina Morfi .", Apr 2017,"Building,Landmark,Architecture,City,Property,Town,Human settlement,Stately home,Estate,Urban area"
74,Lund_02622,Residential area,Property,Architecture,Building,House,Apartment,Real estate,Facade,Neighbourhood,Home,HSB BRF Linero I Lui,9 Travel to, Apr 2017,"Residential area,Property,Architecture,Building,House,Apartment,Real estate,Facade,Neighbourhood,Home"
75,Lund_00596,Landmark,Building,Town,Property,Architecture,City,Human settlement,Stately home,Medieval architecture,Sky,Katedral High Schoo,S Sanbao Xu, Apr 2013,"Landmark,Building,Town,Property,Architecture,City,Human settlement,Stately home,Medieval architecture,Sky"
76,Lund_01569,Building,Commercial building,,,,,,,,,L RN LT,    , Apr 2017,
77,Lund_01780,Classical architecture,Architecture,Building,Landmark,Facade,Courthouse,Column,City,Tourist attraction,Seat of local government,Lundagérd 9,IR G, Apr 2018,"Classical architecture,Architecture,Building,Landmark,Facade,Courthouse,Column,City,Tourist attraction,Seat of local government"
78,Lund_03144,Sky,Cloud,Grassland,Daytime,Field,Nature,Green,Plain,Natural landscape,Cumulus,Northward view at Lt,S Sanbao Xu, Apr 2013,"Sky,Cloud,Grassland,Daytime,Field,Nature,Green,Plain,Natural landscape,Cumulus"
79,Lund_03154,Property,Building,House,Home,Real estate,Estate,Residential area,Architecture,Villa,Sky,Nobbelbvs mosse,:&‘ Shaon Mazi, Apr 2017,"Property,Building,House,Home,Real estate,Estate,Residential area,Architecture,Villa,Sky"
80,Lund_00553,Building,Architecture,Classical architecture,Palace,City,Facade,Official residence,Town square,Presidential palace,House,Akademibokhandeln,g gunvi holmgren, Apr 2017,"Building,Architecture,Classical architecture,Palace,City,Facade,Official residence,Town square,Presidential palace,House"
81,Lund_02523,Property,Residential area,Building,Architecture,House,Urban area,Neighbourhood,Sky,City,Roof,Lund Nordanvig,/ isam altaliqani, Apr 2018,"Property,Residential area,Building,Architecture,House,Urban area,Neighbourhood,Sky,City,Roof"
82,Lund_02142,Property,Building,Architecture,Town,House,Tree,Roof,City,Courtyard,Real estate,Kulturen,‘ Marion Kaletta, Apr 2018,"Property,Building,Architecture,Town,House,Tree,Roof,City,Courtyard,Real estate"
83,Lund_01764,Landmark,Building,Palace,Estate,Mansion,Château,Architecture,Stately home,Official residence,House,Lundagérd 9,Lundagérd 9, Apr 2014,"Landmark,Building,Palace,Estate,Mansion,Château,Architecture,Stately home,Official residence,House"
84,Lund_01653,Classical architecture,Landmark,Building,Architecture,Palace,Sky,Facade,City,House,Tourist attraction,Lundagérd,Jacek Centkowsl, Apr 2018,"Classical architecture,Landmark,Building,Architecture,Palace,Sky,Facade,City,House,Tourist attraction"
85,Lund_00259,Landmark,Medieval architecture,Building,Architecture,Château,Estate,Stately home,Baptistery,Tree,Classical architecture,[T L He 1 BT,& Timofei Muntean, Apr 2017,"Landmark,Medieval architecture,Building,Architecture,Château,Estate,Stately home,Baptistery,Tree,Classical architecture"
86,Lund_01034,Garden,Grass,Botanical garden,Botany,Park,Tree,Lawn,Spring,Shrub,Leaf,Stadsparken,6’:‘.‘ Casper Johansst, Apr 2018,"Garden,Grass,Botanical garden,Botany,Park,Tree,Lawn,Spring,Shrub,Leaf"
87,Lund_00587,Landmark,Architecture,Medieval architecture,Sky,Building,Spire,Steeple,Tower,Historic site,Church,Lund Cathedral :,[ ‘&f‘ (T A e, Apr 2017,"Landmark,Architecture,Medieval architecture,Sky,Building,Spire,Steeple,Tower,Historic site,Church"
88,Lund_02409,Sky,Tree,Grass,Spring,Cloud,Park,Mountain,Architecture,Plant,Winter,Botanical Garden,ag‘:ggﬁ ), Apr 2018,"Sky,Tree,Grass,Spring,Cloud,Park,Mountain,Architecture,Plant,Winter"
89,Lund_01887,Tree,Spring,Blossom,Natural landscape,Flower,Plant,Grass,Cherry blossom,Sky,Botany,Botanical Garden ¢,Jorgen Grahn, Apr 2017,"Tree,Spring,Blossom,Natural landscape,Flower,Plant,Grass,Cherry blossom,Sky,Botany"
90,Lund_00487,Classical architecture,Architecture,Landmark,Building,Facade,Palace,Sky,City,Courthouse,House,Lundagérd,B Bengt Ljungquist, Apr 2018,"Classical architecture,Architecture,Landmark,Building,Facade,Palace,Sky,City,Courthouse,House"
91,Lund_01980,Property,Town,Building,House,Architecture,Residential area,Tree,Estate,Grass,Home,Kulturen,‘ Marion Kaletta, Apr 2018,"Property,Town,Building,House,Architecture,Residential area,Tree,Estate,Grass,Home"
92,Lund_03078,Property,Residential area,Land lot,Architecture,Tree,Grass,Grass family,House,Plant,Building,HSB BRF Linero I Lui,9 Travel to, Apr 2017,"Property,Residential area,Land lot,Architecture,Tree,Grass,Grass family,House,Plant,Building"
93,Lund_00418,Building,Architecture,Landmark,Property,Stately home,Medieval architecture,Town,City,Château,Estate,Lund 2016 .4.29 :,& saad al saifi, Apr 2016,"Building,Architecture,Landmark,Property,Stately home,Medieval architecture,Town,City,Château,Estate"
94,Lund_01524,Estate,Property,Building,Mansion,Manor house,Château,Architecture,Stately home,Grass,House,Lundagérd 9,Adrian Wach, Apr 2014,"Estate,Property,Building,Mansion,Manor house,Château,Architecture,Stately home,Grass,House"
95,Lund_02546,Sport venue,Grass,Team sport,Player,Stadium,Sports,Sky,Ball game,Soccer-specific stadium,Team,Klostergérdens IP,U  ulf svanstrom, Apr 2018,"Sport venue,Grass,Team sport,Player,Stadium,Sports,Sky,Ball game,Soccer-specific stadium,Team"
96,Lund_00393,Landmark,Palace,Mansion,Building,Estate,Property,Architecture,Stately home,Classical architecture,Spring,Lundagérd,D) Dimitris Basinos, Apr 2009,"Landmark,Palace,Mansion,Building,Estate,Property,Architecture,Stately home,Classical architecture,Spring"
97,Lund_02032,Estate,Property,Grass,House,Mansion,Building,Tree,Photography,Château,Manor house,Stadsparken 9,ﬁ' paul fackler, Apr 2018,"Estate,Property,Grass,House,Mansion,Building,Tree,Photography,Château,Manor house"
98,Lund_01201,Landmark,Architecture,Sky,Building,Town,Church,City,Facade,Urban area,Cathedral,Lund Cathedral,SR T IR, Apr 2017,"Landmark,Architecture,Sky,Building,Town,Church,City,Facade,Urban area,Cathedral"
99,Lund_00895,Water,Landmark,Building,Reflecting pool,Architecture,Waterway,Tree,Château,Estate,Tourist attraction,Lundagérd ¢,& S ], Apr 2018,"Water,Landmark,Building,Reflecting pool,Architecture,Waterway,Tree,Château,Estate,Tourist attraction"
100,Lund_02683,Property,House,Home,Tree,Building,Estate,Land lot,Roof,Real estate,Grass,Shaon Mazi,Shaon Mazi, Apr 2017,"Property,House,Home,Tree,Building,Estate,Land lot,Roof,Real estate,Grass"
101,Lund_02258,Tree,Property,Natural landscape,Residential area,Sky,Architecture,Grass,House,Road,Woody plant,HSB BRF Linero I Lui,9 Travel to, Apr 2017,"Tree,Property,Natural landscape,Residential area,Sky,Architecture,Grass,House,Road,Woody plant"
102,Lund_01711,Garden,Property,House,Estate,Botany,Spring,Grass,Botanical garden,Tree,Park,Botanical Garden,Marianna Bologn, Apr 2017,"Garden,Property,House,Estate,Botany,Spring,Grass,Botanical garden,Tree,Park"
103,Lund_00046,Historic site,Wall,Medieval architecture,Architecture,Building,Fortification,Arch,Sky,Ancient history,Caravanserai,%~ Juliane Vigané,%~ Juliane Vigané, Apr 2018,"Historic site,Wall,Medieval architecture,Architecture,Building,Fortification,Arch,Sky,Ancient history,Caravanserai"
104,Lund_02427,Property,House,Building,Land lot,Roof,Grass,Cottage,Rural area,Farmhouse,Barn,Kulturen,Peter Denton, Apr 2017,"Property,House,Building,Land lot,Roof,Grass,Cottage,Rural area,Farmhouse,Barn"
105,Lund_01844,Building,Landmark,Architecture,Medieval architecture,City,Human settlement,Classical architecture,Facade,Cathedral,Gothic architecture,[T e T T T,Marc Fallon, Apr 2017,"Building,Landmark,Architecture,Medieval architecture,City,Human settlement,Classical architecture,Facade,Cathedral,Gothic architecture"
106,Lund_00467,Landmark,Building,Architecture,Plaza,Palace,Estate,Stately home,Tree,City,Mansion,Lundagérd,D) Dimitris Basinos, Apr 2009,"Landmark,Building,Architecture,Plaza,Palace,Estate,Stately home,Tree,City,Mansion"
107,Lund_02379,Transport,Lane,Road,Asphalt,Town,Street,Vehicle,Infrastructure,Tree,Architecture,Klostergérdens IP,M) Matthew H. Motz, Apr 2018,"Transport,Lane,Road,Asphalt,Town,Street,Vehicle,Infrastructure,Tree,Architecture"
108,Lund_00878,Building,Roof,Architecture,Project,Urban design,Sport venue,Aerial photography,Arena,,,Lillemans MC,N Nemo Ekstrém, Apr 2017,
109,Lund_00946,Building,Classical architecture,Architecture,Landmark,Property,Mansion,House,Palace,Estate,Facade,Lundagérd,’ Lisa Vult von Ste, Apr 2017,"Building,Classical architecture,Architecture,Landmark,Property,Mansion,House,Palace,Estate,Facade"
110,Lund_00424,Landmark,Building,Architecture,Town,City,Human settlement,Stately home,Château,Estate,Palace,[T T VT T 01 T,‘? Jefri Tamba, Apr 2018,"Landmark,Building,Architecture,Town,City,Human settlement,Stately home,Château,Estate,Palace"
111,Lund_02743,Architecture,Building,Facade,House,Commercial building,Headquarters,Community centre,Corporate headquarters,,,Lund MAX IV,é Kevyn Danuway, Apr 2018,
