,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y,string
55,Lund_00938,Building,Château,Classical architecture,Property,Estate,Palace,Landmark,Architecture,Stately home,Mansion,Lundagérd 9,[’ J Joe Fernet, Sep 2017,"Building,Château,Classical architecture,Property,Estate,Palace,Landmark,Architecture,Stately home,Mansion"
56,Lund_00145,Property,Building,Architecture,Neighbourhood,House,Town,Urban area,Metropolitan area,Home,Real estate,A ANasem,A ANasem, Sep 2015,"Property,Building,Architecture,Neighbourhood,House,Town,Urban area,Metropolitan area,Home,Real estate"
57,Lund_00275,Property,Building,Estate,Architecture,Town,Grass,House,City,Tree,Stately home,Lundagérd,g Per Pixel Peterss, Sep 2015,"Property,Building,Estate,Architecture,Town,Grass,House,City,Tree,Stately home"
58,Lund_02845,Building,Estate,Palace,Mansion,Property,Official residence,Château,Stately home,Manor house,College,Lundagérd 9,Lundagérd 9, Sep 2017,"Building,Estate,Palace,Mansion,Property,Official residence,Château,Stately home,Manor house,College"
59,Lund_00335,Architecture,Building,Sky,Palace,Facade,City,Tourism,Cloud,Plaza,House,Botanical Garden,L AL e, Sep 2018,"Architecture,Building,Sky,Palace,Facade,City,Tourism,Cloud,Plaza,House"
60,Lund_01879,Building,Medieval architecture,Landmark,Architecture,Church,Place of worship,Wall,Arch,Cathedral,Historic site,[T T o1 11 T,Logan Leske, Sep 2017,"Building,Medieval architecture,Landmark,Architecture,Church,Place of worship,Wall,Arch,Cathedral,Historic site"
61,Lund_01589,Nature,Garden,Sky,Grass,Tree,Property,Natural landscape,Lawn,Botany,Grass family,Botanical Garden,Mikael Sandstror, Sep 2017,"Nature,Garden,Sky,Grass,Tree,Property,Natural landscape,Lawn,Botany,Grass family"
62,Lund_01820,Landmark,Building,Mansion,Estate,Architecture,Sky,Property,Palace,Stately home,Tree,[T T VT,(é 7 Paulina Belenitsk, Sep 2018,"Landmark,Building,Mansion,Estate,Architecture,Sky,Property,Palace,Stately home,Tree"
63,Lund_02286,Water,Sky,Natural environment,Wilderness,Water resources,River,Cloud,Vacation,Tree,Grass,Adam Matias Ho,Adam Matias Ho, Sep 2017,"Water,Sky,Natural environment,Wilderness,Water resources,River,Cloud,Vacation,Tree,Grass"
64,Lund_00409,Landmark,Building,Architecture,City,Sky,Daytime,Classical architecture,Human settlement,Facade,Tower,Lund Cathedral,Lund Cathedral, Sep 2017,"Landmark,Building,Architecture,City,Sky,Daytime,Classical architecture,Human settlement,Facade,Tower"
65,Lund_00889,Medieval architecture,Landmark,Building,Town,Historic site,Architecture,Sky,Human settlement,City,Wall,Lundagérd,prashant singh, Sep 2018,"Medieval architecture,Landmark,Building,Town,Historic site,Architecture,Sky,Human settlement,City,Wall"
66,Lund_00408,Building,Landmark,Estate,Architecture,Classical architecture,Property,Mansion,Palace,Official residence,Stately home,LTI G T,f@: Mister No, Sep 2017,"Building,Landmark,Estate,Architecture,Classical architecture,Property,Mansion,Palace,Official residence,Stately home"
67,Lund_02957,Body of water,Water,Water resources,Watercourse,Stream,Rock,Natural landscape,Stream bed,Creek,Boulder,Rinnebick Gorge,é ) Peter Vang Chris, Sep 2010,"Body of water,Water,Water resources,Watercourse,Stream,Rock,Natural landscape,Stream bed,Creek,Boulder"
68,Lund_02756,Pasture,Grazing,Bovine,Grass,Grassland,Meadow,Rural area,Snout,Sky,Livestock,Nobbel6vs mosse,M Maria Tracz, Sep 2017,"Pasture,Grazing,Bovine,Grass,Grassland,Meadow,Rural area,Snout,Sky,Livestock"
69,Lund_01481,Property,Building,Estate,House,Residential area,Real estate,Neighbourhood,Architecture,Apartment,Home,LTS GIETRTT T,fﬁ: BN, Sep 2017,"Property,Building,Estate,House,Residential area,Real estate,Neighbourhood,Architecture,Apartment,Home"
70,Lund_00097,Neighbourhood,Property,Town,Guard rail,Building,Public space,Tree,Architecture,Walkway,Fence,e Saadiyah Darus,e Saadiyah Darus, Sep 2009,"Neighbourhood,Property,Town,Guard rail,Building,Public space,Tree,Architecture,Walkway,Fence"
71,Lund_00126,Landmark,Building,Architecture,Property,Stately home,Classical architecture,Château,Estate,Facade,Mansion,@ Hans Jirgen Klai,@ Hans Jirgen Klai, Sep 2018,"Landmark,Building,Architecture,Property,Stately home,Classical architecture,Château,Estate,Facade,Mansion"
72,Lund_00735,Estate,Property,Building,Mansion,House,Landmark,Home,Architecture,Sky,Palace,Lundagérd,ri‘ Debra Beight, Sep 2016,"Estate,Property,Building,Mansion,House,Landmark,Home,Architecture,Sky,Palace"
73,Lund_02203,Transport,Building,Vehicle,Facade,Architecture,Bicycle,Recreation,,,,@ Steven Vancoillie,@ Steven Vancoillie, Sep 2016,
74,Lund_00855,Building,Architecture,Palace,City,Plaza,Official residence,Town square,Estate,Facade,Mansion,Stortorget 3,Stortorget 3, Sep 2017,"Building,Architecture,Palace,City,Plaza,Official residence,Town square,Estate,Facade,Mansion"
75,Lund_02039,Tower block,Building,Metropolitan area,Architecture,Condominium,Urban area,Residential area,City,Human settlement,Daytime,Ideon Science Park,Martin Mc Anesg, Sep 2017,"Tower block,Building,Metropolitan area,Architecture,Condominium,Urban area,Residential area,City,Human settlement,Daytime"
76,Lund_01975,Natural landscape,Nature,Reflection,Tree,Natural environment,Leaf,Water,Nature reserve,Wilderness,Autumn,Botanical Garden,Sisse Nesgaard, Sep 2018,"Natural landscape,Nature,Reflection,Tree,Natural environment,Leaf,Water,Nature reserve,Wilderness,Autumn"
77,Lund_01190,Landmark,Building,Architecture,Medieval architecture,Tower,City,Sky,Historic site,Church,Place of worship,[T T BT T T,f@: Mister No, Sep 2017,"Landmark,Building,Architecture,Medieval architecture,Tower,City,Sky,Historic site,Church,Place of worship"
78,Lund_01200,Fountain,Water,Garden,Water feature,Sky,Water resources,Botany,Grass,Botanical garden,Architecture,Stadsparken,Athanasios Simo, Sep 2018,"Fountain,Water,Garden,Water feature,Sky,Water resources,Botany,Grass,Botanical garden,Architecture"
79,Lund_01016,Natural landscape,Body of water,Nature,Water resources,Natural environment,Water,Sky,Pond,Bank,Nature reserve,Fredentorps Begravn,6 IR DL, Sep 2016,"Natural landscape,Body of water,Nature,Water resources,Natural environment,Water,Sky,Pond,Bank,Nature reserve"
80,Lund_01261,Building,Palace,Landmark,Estate,Architecture,Mansion,Official residence,Stately home,Presidential palace,Classical architecture,Lundagérd,Prakash Kumar, Sep 2012,"Building,Palace,Landmark,Estate,Architecture,Mansion,Official residence,Stately home,Presidential palace,Classical architecture"
81,Lund_00289,Landmark,Building,Architecture,Estate,Tree,Baptistery,Classical architecture,Mansion,Grass,Stately home,[T L He 1 BT,‘g) Bartosz Klukacze, Sep 2014,"Landmark,Building,Architecture,Estate,Tree,Baptistery,Classical architecture,Mansion,Grass,Stately home"
82,Lund_02468,Body of water,Water resources,Water,Nature,Natural landscape,River,Reservoir,Natural environment,Sky,Bank,Nobbel6vs mosse,L  Lilja Skold, Sep 2016,"Body of water,Water resources,Water,Nature,Natural landscape,River,Reservoir,Natural environment,Sky,Bank"
83,Lund_02814,Landmark,Medieval architecture,Architecture,Building,Sky,Spire,Church,Steeple,Place of worship,Town,[T L He 1 BT,9 EEELIRIN, Sep 2013,"Landmark,Medieval architecture,Architecture,Building,Sky,Spire,Church,Steeple,Place of worship,Town"
84,Lund_01674,Landmark,Medieval architecture,Architecture,Building,Place of worship,Sky,Church,Cathedral,Gothic architecture,Steeple,[T T e T T T,g ISR e, Sep 2018,"Landmark,Medieval architecture,Architecture,Building,Place of worship,Sky,Church,Cathedral,Gothic architecture,Steeple"
85,Lund_01091,Water,Architecture,Sky,Botany,Tree,Photography,Botanical garden,Building,Fountain,Garden,Lundagérd 9,L 1T T, Sep 2013,"Water,Architecture,Sky,Botany,Tree,Photography,Botanical garden,Building,Fountain,Garden"
86,Lund_01080,Medieval architecture,Architecture,Building,Landmark,Place of worship,Classical architecture,Church,Facade,Historic site,Parish,[T L He 1 BT,. EECIen, Sep 2017,"Medieval architecture,Architecture,Building,Landmark,Place of worship,Classical architecture,Church,Facade,Historic site,Parish"
87,Lund_00947,Building,Estate,Property,Mansion,Château,Palace,Landmark,Stately home,Manor house,Official residence,Lundagérd 9,= SR, Sep 2017,"Building,Estate,Property,Mansion,Château,Palace,Landmark,Stately home,Manor house,Official residence"
88,Lund_01859,Monument,Landmark,Grass,Obelisk,Sky,Memorial,Historic site,National historic landmark,Rock,,Monument Slaget vic,david stuart, Sep 2018,
89,Lund_00745,Building,Sky,Estate,Architecture,Tree,House,Grass,Cloud,Landscape,Château,Lundagérd 9,L 1T T, Sep 2013,"Building,Sky,Estate,Architecture,Tree,House,Grass,Cloud,Landscape,Château"
90,Lund_00933,Building,Architecture,Medieval architecture,Landmark,Classical architecture,Place of worship,Cathedral,Gothic architecture,Facade,City,Lundagérd,“’ Adrian Popescu, Sep 2016,"Building,Architecture,Medieval architecture,Landmark,Classical architecture,Place of worship,Cathedral,Gothic architecture,Facade,City"
91,Lund_00139,Statue,Sculpture,Public space,Tree,Town,Monument,City,Urban area,Architecture,Art,e Saadiyah Darus,e Saadiyah Darus, Sep 2009,"Statue,Sculpture,Public space,Tree,Town,Monument,City,Urban area,Architecture,Art"
92,Lund_02752,Pasture,Field,Land lot,Natural landscape,Grassland,Natural environment,Sky,Grass,Plain,Soil,Nobbelbvs mosse,Q Peter Nordensva, Sep 2016,"Pasture,Field,Land lot,Natural landscape,Grassland,Natural environment,Sky,Grass,Plain,Soil"
93,Lund_02990,Room,Building,Interior design,Furniture,Restaurant,Table,Barware,Countertop,Ceiling,Bar,Klostergardens Rest,‘ Christopher Svar, Sep 2018,"Room,Building,Interior design,Furniture,Restaurant,Table,Barware,Countertop,Ceiling,Bar"
94,Lund_02624,Grassland,Natural landscape,Land lot,Field,Natural environment,Grass,Vegetation,Plain,Pasture,Prairie,Klosteréngshojden,Q Peter Nordensva, Sep 2016,"Grassland,Natural landscape,Land lot,Field,Natural environment,Grass,Vegetation,Plain,Pasture,Prairie"
95,Lund_00727,Estate,Mansion,Property,Building,House,Home,Official residence,Palace,Architecture,Stately home,Lundagérd,@ leva Paskauskait, Sep 2015,"Estate,Mansion,Property,Building,House,Home,Official residence,Palace,Architecture,Stately home"
96,Lund_01154,Building,Architecture,Landmark,City,Town,Human settlement,Sky,Facade,Plaza,Metropolis,[T L He 1 BT,A RIEY NG T, Sep 2018,"Building,Architecture,Landmark,City,Town,Human settlement,Sky,Facade,Plaza,Metropolis"
97,Lund_00502,Property,House,Estate,Home,Building,Grass,Architecture,Mansion,Lawn,Real estate,Stadsparken c,% Melissa lisley, Sep 2017,"Property,House,Estate,Home,Building,Grass,Architecture,Mansion,Lawn,Real estate"
98,Lund_01172,Building,Architecture,Landmark,Medieval architecture,Classical architecture,Cathedral,Facade,Place of worship,City,Church,Lund Cathedral,E ) Edwin Meulman, Sep 2017,"Building,Architecture,Landmark,Medieval architecture,Classical architecture,Cathedral,Facade,Place of worship,City,Church"
99,Lund_03186,Landmark,Sky,Architecture,Building,Town,City,Human settlement,Urban area,Facade,Tower,Lund Cathedral,C Carl O. Thygesen, Sep 2017,"Landmark,Sky,Architecture,Building,Town,City,Human settlement,Urban area,Facade,Tower"
100,Lund_02084,Lawn,Grass,Garden,Green,Natural landscape,Grassland,Grass family,Land lot,Landscaping,Tree,Lund City Park,Joel Kouamé Bo, Sep 2017,"Lawn,Grass,Garden,Green,Natural landscape,Grassland,Grass family,Land lot,Landscaping,Tree"
101,Lund_01415,Building,Tree,Architecture,Château,Plant,Castle,,,,,Lundagérd 9,~ 9 JanosKiss, Sep 2018,
102,Lund_01061,House,Tree,Building,Architecture,Palace,Estate,Château,Mansion,Sky,Plant,Lundagérd 9,i\ Bengt Jiirs, Sep 2013,"House,Tree,Building,Architecture,Palace,Estate,Château,Mansion,Sky,Plant"
103,Lund_01354,Medieval architecture,Architecture,Landmark,Building,Classical architecture,Place of worship,Historic site,Cathedral,Facade,Byzantine architecture,Per Tutti Glasscafé,Anne-Charlotte J, Sep 2017,"Medieval architecture,Architecture,Landmark,Building,Classical architecture,Place of worship,Historic site,Cathedral,Facade,Byzantine architecture"
104,Lund_02070,Wall,Building,Tree,Architecture,Medieval architecture,Stately home,Grass,House,Estate,Plant,Lundagérd ¢,(3} PR, Sep 2017,"Wall,Building,Tree,Architecture,Medieval architecture,Stately home,Grass,House,Estate,Plant"
105,Lund_01519,Building,Architecture,Landmark,Town,City,Property,Human settlement,Facade,Public space,Town square,Lundagérd,Nika Jikurashvili, Sep 2018,"Building,Architecture,Landmark,Town,City,Property,Human settlement,Facade,Public space,Town square"
106,Lund_00332,Estate,Building,Palace,Property,Mansion,Stately home,Official residence,House,Château,Architecture,Lundagérd,“’ Adrian Popescu, Sep 2016,"Estate,Building,Palace,Property,Mansion,Stately home,Official residence,House,Château,Architecture"
107,Lund_02414,Town,Building,Property,Human settlement,Neighbourhood,City,Street,Mixed-use,Architecture,Downtown,Lundagérd g,“.3 Florian Lang, Sep 2011,"Town,Building,Property,Human settlement,Neighbourhood,City,Street,Mixed-use,Architecture,Downtown"
108,Lund_01745,Property,Estate,House,Building,Home,Mansion,Manor house,Architecture,Grass,Almshouse,Botanical Garden,Alicja Lewandow, Sep 2017,"Property,Estate,House,Building,Home,Mansion,Manor house,Architecture,Grass,Almshouse"
109,Lund_02839,Building,Property,Architecture,Estate,House,Palace,Mansion,Tree,City,Facade,Lund Cathedral,C Carl O. Thygesen, Sep 2017,"Building,Property,Architecture,Estate,House,Palace,Mansion,Tree,City,Facade"
110,Lund_00368,Building,Architecture,City,Landmark,Town,Human settlement,Sky,Public space,Urban area,Tree,[T T o1 T T T,&: Sayel Cortes, Sep 2018,"Building,Architecture,City,Landmark,Town,Human settlement,Sky,Public space,Urban area,Tree"
111,Lund_00438,Landmark,Building,Estate,Water,Reflecting pool,Architecture,Mansion,Reflection,Palace,Château,Lundagérd,3 .> Ole Dahlmann-H:, Sep 2016,"Landmark,Building,Estate,Water,Reflecting pool,Architecture,Mansion,Reflection,Palace,Château"
112,Lund_01498,Building,Architecture,Landmark,Grass,Estate,Classical architecture,Stately home,Medieval architecture,Mansion,Lawn,Lundagérd |,RS R, Sep 2017,"Building,Architecture,Landmark,Grass,Estate,Classical architecture,Stately home,Medieval architecture,Mansion,Lawn"
