,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y,string
25,Lund_01649,Fountain,Water,Garden,Natural landscape,Grass,Water resources,Water feature,Botanical garden,Botany,Lawn,Stadsparken,@ Gheorghe Zamfir, Aug 2018,"Fountain,Water,Garden,Natural landscape,Grass,Water resources,Water feature,Botanical garden,Botany,Lawn"
26,Lund_00920,Landmark,Architecture,Building,Sky,Medieval architecture,City,Tower,Church,Facade,Urban area,Lundagérd,C  Christoph Kirchn, Aug 2017,"Landmark,Architecture,Building,Sky,Medieval architecture,City,Tower,Church,Facade,Urban area"
27,Lund_01135,Building,Landmark,Property,Architecture,Town,City,Stately home,Public space,Facade,Palace,[T TV HTET 3 T,a Abubakar M, Aug 2017,"Building,Landmark,Property,Architecture,Town,City,Stately home,Public space,Facade,Palace"
28,Lund_03114,Building,Architecture,Commercial building,Road,City,Facade,Mixed-use,Street,,,Asylen,@ BN PN R, Aug 2017,
29,Lund_01578,Medieval architecture,Building,Landmark,Architecture,Classical architecture,Place of worship,Church,Facade,Cathedral,Historic site,Lund Cathedral :,Mikael Rojnert, Aug 2017,"Medieval architecture,Building,Landmark,Architecture,Classical architecture,Place of worship,Church,Facade,Cathedral,Historic site"
30,Lund_00107,Body of water,Shore,Water resources,Rock,Water,Coast,Bank,Waterway,Sea,Coastal and oceanic landforms,"‘é"" [N","‘é"" [N", Aug 2018,"Body of water,Shore,Water resources,Rock,Water,Coast,Bank,Waterway,Sea,Coastal and oceanic landforms"
31,Lund_02375,Field,Sky,Land lot,Rural area,Farm,Tree,Grass family,Grass,Plain,Road,Nobbel6vs mosse,i\ 1T T, Aug 2014,"Field,Sky,Land lot,Rural area,Farm,Tree,Grass family,Grass,Plain,Road"
32,Lund_02619,Architecture,Sky,Property,Building,Wall,Church,House,Roof,Facade,Convent,Stora Raby Kyrka,T Takashi Tokushir, Aug 2018,"Architecture,Sky,Property,Building,Wall,Church,House,Roof,Facade,Convent"
33,Lund_00435,Landmark,Architecture,Sky,Building,Medieval architecture,Classical architecture,Church,Place of worship,Cathedral,Steeple,Lundagérd 9,6 Rene Wagner, Aug 2017,"Landmark,Architecture,Sky,Building,Medieval architecture,Classical architecture,Church,Place of worship,Cathedral,Steeple"
34,Lund_00033,Natural landscape,Rapeseed,Field,Meadow,Canola,Nature,Grassland,Pasture,Natural environment,Land lot,"‘é"" [N","‘é"" [N", Aug 2018,"Natural landscape,Rapeseed,Field,Meadow,Canola,Nature,Grassland,Pasture,Natural environment,Land lot"
35,Lund_01229,Garden,Botanical garden,Lawn,Yard,Botany,Landscaping,Plant,Landscape,Grass,Flower,Botanical Garden,Maria K, Aug 2017,"Garden,Botanical garden,Lawn,Yard,Botany,Landscaping,Plant,Landscape,Grass,Flower"
36,Lund_01539,Landmark,Building,Architecture,Medieval architecture,Sky,Facade,Church,Tower,Classical architecture,Place of worship,Lund Cathedral,; P RS E, Aug 2017,"Landmark,Building,Architecture,Medieval architecture,Sky,Facade,Church,Tower,Classical architecture,Place of worship"
37,Lund_01665,Garden,Water,Botanical garden,Natural landscape,Botany,Fountain,Tree,Pond,Reflecting pool,Landscape,Lundagérd 9,6 Rene Wagner, Aug 2017,"Garden,Water,Botanical garden,Natural landscape,Botany,Fountain,Tree,Pond,Reflecting pool,Landscape"
38,Lund_01008,Estate,Property,Mansion,Building,Manor house,House,Stately home,Château,Lawn,Palace,Botanical Garden,"-_’é, Tiago Duarte", Aug 2016,"Estate,Property,Mansion,Building,Manor house,House,Stately home,Château,Lawn,Palace"
39,Lund_00911,Landmark,Sky,Architecture,Building,Mansion,City,Estate,Town square,Palace,Tree,universita di lund mc,A) Anna Riggio, Aug 2018,"Landmark,Sky,Architecture,Building,Mansion,City,Estate,Town square,Palace,Tree"
40,Lund_02901,Boutique,Room,Building,Textile,Bazaar,Retail,Shopping,Market,Outlet store,Antique,Hep Cat Store,‘f ‘j Martin Lannerés, Aug 2018,"Boutique,Room,Building,Textile,Bazaar,Retail,Shopping,Market,Outlet store,Antique"
41,Lund_02056,Building,Architecture,Landmark,Palace,Estate,Mansion,Property,Classical architecture,House,Sky,Lundagard ¢,21308, Aug 2018,"Building,Architecture,Landmark,Palace,Estate,Mansion,Property,Classical architecture,House,Sky"
42,Lund_00378,Landmark,Building,Classical architecture,Architecture,Palace,Mansion,Official residence,Estate,Château,Sky,Lundagérd 9,A Anna Riggio, Aug 2018,"Landmark,Building,Classical architecture,Architecture,Palace,Mansion,Official residence,Estate,Château,Sky"
43,Lund_00674,Building,Architecture,Landmark,Sky,City,Medieval architecture,Town,Cathedral,Church,Place of worship,"[T, T o1 T T T","-'.""""‘\ Darth Dane", Aug 2018,"Building,Architecture,Landmark,Sky,City,Medieval architecture,Town,Cathedral,Church,Place of worship"
44,Lund_01002,Building,Property,Landmark,Architecture,Palace,Mansion,House,Official residence,Classical architecture,Estate,AB Tetra Pak c,a FN, Aug 2017,"Building,Property,Landmark,Architecture,Palace,Mansion,House,Official residence,Classical architecture,Estate"
45,Lund_02021,Building,Campus,College,Property,Estate,Public space,Town,Human settlement,City,University,Lundagérd,Salvatore De Pao, Aug 2017,"Building,Campus,College,Property,Estate,Public space,Town,Human settlement,City,University"
46,Lund_01311,Building,Estate,Property,Landmark,Mansion,Palace,Architecture,Official residence,Stately home,House,Lundagérd 9,Maxime LMA, Aug 2018,"Building,Estate,Property,Landmark,Mansion,Palace,Architecture,Official residence,Stately home,House"
47,Lund_00494,Building,Estate,Mansion,Palace,Official residence,Property,Stately home,Château,Architecture,Classical architecture,Lundagérd 9,S  Sheila Sang, Aug 2018,"Building,Estate,Mansion,Palace,Official residence,Property,Stately home,Château,Architecture,Classical architecture"
48,Lund_01139,Estate,Property,Landmark,Building,Architecture,Mansion,Garden,Botany,Botanical garden,Tree,Lundagérd,% William Térneber, Aug 2016,"Estate,Property,Landmark,Building,Architecture,Mansion,Garden,Botany,Botanical garden,Tree"
49,Lund_02840,Estate,Building,Property,Mansion,Architecture,House,Garden,Home,Stately home,Lawn,Lundagérd,'aﬂ Gaston Ragnar R, Aug 2016,"Estate,Building,Property,Mansion,Architecture,House,Garden,Home,Stately home,Lawn"
50,Lund_02120,Architecture,Building,Commercial building,Headquarters,Corporate headquarters,Facade,Residential area,Metropolitan area,Condominium,City,Sony Mobile Commu,Daniel Kacz, Aug 2016,"Architecture,Building,Commercial building,Headquarters,Corporate headquarters,Facade,Residential area,Metropolitan area,Condominium,City"
51,Lund_01192,Water,Landmark,Waterway,Reflection,Reflecting pool,Botany,Tree,Architecture,River,Sky,Lundagérd,S GEERS Wy, Aug 2018,"Water,Landmark,Waterway,Reflection,Reflecting pool,Botany,Tree,Architecture,River,Sky"
52,Lund_01331,Landmark,Medieval architecture,Architecture,Building,Classical architecture,Facade,Cathedral,Place of worship,Gothic architecture,Church,[ETLGEe0L E],E SRV VIN: Y, Aug 2017,"Landmark,Medieval architecture,Architecture,Building,Classical architecture,Facade,Cathedral,Place of worship,Gothic architecture,Church"
53,Lund_00077,Medieval architecture,Landmark,Building,Architecture,Historic site,Statue,Brick,Place of worship,Church,Monument,"‘é"" [N","‘é"" [N", Aug 2018,"Medieval architecture,Landmark,Building,Architecture,Historic site,Statue,Brick,Place of worship,Church,Monument"
54,Lund_02320,Pasture,Grazing,Grassland,Natural landscape,Bovine,Natural environment,Meadow,Rural area,Ranch,Farm,Rinnebick Gorge : H,Q Ani Vera, Aug 2017,"Pasture,Grazing,Grassland,Natural landscape,Bovine,Natural environment,Meadow,Rural area,Ranch,Farm"
55,Lund_02444,Body of water,Water resources,Natural landscape,Water,Natural environment,Bank,Freshwater marsh,Marsh,Nature reserve,Wetland,. Vahid Asgari,. Vahid Asgari, Aug 2017,"Body of water,Water resources,Natural landscape,Water,Natural environment,Bank,Freshwater marsh,Marsh,Nature reserve,Wetland"
56,Lund_00266,Sky,Architecture,Building,Tree,Estate,House,Grass,Rural area,Historic site,Castle,Kungshuset,@ Carina Schilpzan, Aug 2017,"Sky,Architecture,Building,Tree,Estate,House,Grass,Rural area,Historic site,Castle"
57,Lund_00193,Building,Winter,Tree,Property,Snow,Town,Architecture,Home,House,Estate,"‘é"" [N","‘é"" [N", Aug 2018,"Building,Winter,Tree,Property,Snow,Town,Architecture,Home,House,Estate"
58,Lund_00556,Garden,Botanical garden,Natural landscape,Botany,Flower,Lawn,Plant,Estate,Spring,House,Botanical Garden,Teodora J-sin, Aug 2017,"Garden,Botanical garden,Natural landscape,Botany,Flower,Lawn,Plant,Estate,Spring,House"
59,Lund_02485,Field,Sky,Natural landscape,Farm,Rural area,Cloud,Tree,Hay,Plain,Grass family,Nobbel6vs mosse,i\ 1T T, Aug 2014,"Field,Sky,Natural landscape,Farm,Rural area,Cloud,Tree,Hay,Plain,Grass family"
60,Lund_00087,Marina,Boat,Vehicle,Water transportation,Harbor,Watercraft,Dock,Port,Waterway,Mast,"‘é"" [N","‘é"" [N", Aug 2018,"Marina,Boat,Vehicle,Water transportation,Harbor,Watercraft,Dock,Port,Waterway,Mast"
61,Lund_02146,Garden,Botanical garden,Tree,Botany,Spring,Sky,Plant,Flower,Shrub,Architecture,Lundagérd,% William Térneber, Aug 2016,"Garden,Botanical garden,Tree,Botany,Spring,Sky,Plant,Flower,Shrub,Architecture"
62,Lund_00215,Aerial photography,Urban area,Residential area,Metropolitan area,Daytime,Bird's-eye view,Sky,City,Suburb,Roof,[T 8,. uwe leinhos, Aug 2015,"Aerial photography,Urban area,Residential area,Metropolitan area,Daytime,Bird's-eye view,Sky,City,Suburb,Roof"
63,Lund_00020,Landmark,Estate,Building,Architecture,Tree,Mansion,Palace,Château,Stately home,Sky,Lund,@ Irena Zhang, Aug 2014,"Landmark,Estate,Building,Architecture,Tree,Mansion,Palace,Château,Stately home,Sky"
64,Lund_01680,Estate,Property,Building,Palace,Mansion,House,Official residence,Stately home,Architecture,Château,[TV T,Helen Lindholm, Aug 2014,"Estate,Property,Building,Palace,Mansion,House,Official residence,Stately home,Architecture,Château"
65,Lund_00186,Snow,Tree,Winter,Grass,Water,Spring,House,Plant,Branch,Freezing,"‘é"" [N","‘é"" [N", Aug 2018,"Snow,Tree,Winter,Grass,Water,Spring,House,Plant,Branch,Freezing"
66,Lund_00144,Town,Pedestrian,Building,City,Human settlement,Street,Neighbourhood,Architecture,Downtown,Tourism,"‘é"" [N","‘é"" [N", Aug 2018,"Town,Pedestrian,Building,City,Human settlement,Street,Neighbourhood,Architecture,Downtown,Tourism"
67,Lund_02018,Garden,Natural landscape,Botanical garden,Property,Plant,Lawn,Flower,Landscaping,Botany,Yard,Botanical Garden,Joost van der Ga, Aug 2016,"Garden,Natural landscape,Botanical garden,Property,Plant,Lawn,Flower,Landscaping,Botany,Yard"
68,Lund_00261,Estate,Building,Mansion,Property,Palace,Landmark,Official residence,Architecture,Stately home,House,Lundagérd,S GEERS Wy, Aug 2018,"Estate,Building,Mansion,Property,Palace,Landmark,Official residence,Architecture,Stately home,House"
69,Lund_01307,Building,Classical architecture,Landmark,Architecture,Palace,Facade,Mansion,Château,Official residence,Presidential palace,Lundagérd,Fernando Gémez, Aug 2017,"Building,Classical architecture,Landmark,Architecture,Palace,Facade,Mansion,Château,Official residence,Presidential palace"
70,Lund_02117,Landmark,Building,Architecture,Town,Urban area,City,Neighbourhood,Tree,House,Facade,[T TV HTET 3 T,a Abubakar M, Aug 2017,"Landmark,Building,Architecture,Town,Urban area,City,Neighbourhood,Tree,House,Facade"
71,Lund_01932,Landmark,Medieval architecture,Building,Architecture,Tree,Historic site,Estate,Tower,Arch,Château,Lundagérd,L4 f Oldfich Kamensk, Aug 2018,"Landmark,Medieval architecture,Building,Architecture,Tree,Historic site,Estate,Tower,Arch,Château"
72,Lund_01380,Sky,Cloud,Urban area,Daytime,Residential area,Aerial photography,Metropolitan area,Atmospheric phenomenon,City,Suburb,Elite Hotel Ideon,Renard Kutrzeba, Aug 2016,"Sky,Cloud,Urban area,Daytime,Residential area,Aerial photography,Metropolitan area,Atmospheric phenomenon,City,Suburb"
73,Lund_02232,Natural landscape,Nature,Natural environment,Tree,Vegetation,Nature reserve,Green,Grass,Grassland,Sky,Rinnebick Gorge : H,Q Ani Vera, Aug 2017,"Natural landscape,Nature,Natural environment,Tree,Vegetation,Nature reserve,Green,Grass,Grassland,Sky"
74,Lund_00582,Building,Property,Estate,Architecture,Château,Stately home,Palace,House,Mansion,Tree,University Library ¢,Gm DIV ), Aug 2017,"Building,Property,Estate,Architecture,Château,Stately home,Palace,House,Mansion,Tree"
75,Lund_01115,Estate,Building,Property,Palace,House,Château,Mansion,Tree,Architecture,Stately home,Lundagérd 9,*g Bogdan Tatar, Aug 2018,"Estate,Building,Property,Palace,House,Château,Mansion,Tree,Architecture,Stately home"
76,Lund_02353,Interior design,Building,Room,Cabinetry,Countertop,Furniture,Coffeehouse,Food,Kitchen,House,,, Aug 2017,"Interior design,Building,Room,Cabinetry,Countertop,Furniture,Coffeehouse,Food,Kitchen,House"
77,Lund_02650,Natural landscape,Land lot,Vegetation,Grassland,Natural environment,Grass,Atmospheric phenomenon,Pasture,Nature reserve,Field,Nobbelbvs mosse,Q Peter Nordensva, Aug 2018,"Natural landscape,Land lot,Vegetation,Grassland,Natural environment,Grass,Atmospheric phenomenon,Pasture,Nature reserve,Field"
78,Lund_02092,Building,Property,House,Home,Estate,Architecture,Mansion,Manor house,Real estate,Historic house,Sankt Lars sjukhus,6 IR DL, Aug 2017,"Building,Property,House,Home,Estate,Architecture,Mansion,Manor house,Real estate,Historic house"
79,Lund_00221,Building,Estate,Mansion,Property,Classical architecture,Architecture,Landmark,Palace,Official residence,Stately home,Lundagérd ¢,m ionel silvestru, Aug 2018,"Building,Estate,Mansion,Property,Classical architecture,Architecture,Landmark,Palace,Official residence,Stately home"
80,Lund_00379,Building,Estate,Property,Palace,Architecture,Landmark,Mansion,Sky,House,Château,[T TV TTET 3 T,[T TV TTET 3 T, Aug 2016,"Building,Estate,Property,Palace,Architecture,Landmark,Mansion,Sky,House,Château"
81,Lund_02186,Property,Home,House,Building,Real estate,Architecture,Roof,Sky,Estate,Residential area,Rabylunds Gard ¢,Kurt Petersen, Aug 2017,"Property,Home,House,Building,Real estate,Architecture,Roof,Sky,Estate,Residential area"
82,Lund_01954,Nature,Water resources,Water,Vegetation,River,Wilderness,Watercourse,Sky,Natural environment,Waterway,Rinnebidck Gorge,Jesper Bohlin, Aug 2017,"Nature,Water resources,Water,Vegetation,River,Wilderness,Watercourse,Sky,Natural environment,Waterway"
83,Lund_00164,Shore,Coast,Property,Sea,Land lot,Sky,House,Coastal and oceanic landforms,Beach,Cottage,"‘é"" [N","‘é"" [N", Aug 2018,"Shore,Coast,Property,Sea,Land lot,Sky,House,Coastal and oceanic landforms,Beach,Cottage"
84,Lund_02465,Sky,Grass,Cloud,Grassland,Team,Competition event,Team sport,Player,Games,Sport venue,Linero IP,a abomaryam abds, Aug 2018,"Sky,Grass,Cloud,Grassland,Team,Competition event,Team sport,Player,Games,Sport venue"
85,Lund_02527,Water resources,Public space,Water,Asphalt,Road,Sky,Land lot,Road surface,River,Thoroughfare,Rabysjon och Raby s,A ) Aliaksei Pukhavy, Aug 2017,"Water resources,Public space,Water,Asphalt,Road,Sky,Land lot,Road surface,River,Thoroughfare"
86,Lund_01802,Landmark,Architecture,Building,Medieval architecture,Tower,Historic site,Observation tower,Tree,Facade,Château,Lundagérd 8,@ Daniel Klein, Aug 2018,"Landmark,Architecture,Building,Medieval architecture,Tower,Historic site,Observation tower,Tree,Facade,Château"
87,Lund_01983,Medieval architecture,Building,Architecture,Landmark,Church,Place of worship,Sky,Cathedral,Facade,Steeple,Lund Cathedral,\g\ Thomas Crahay, Aug 2017,"Medieval architecture,Building,Architecture,Landmark,Church,Place of worship,Sky,Cathedral,Facade,Steeple"
88,Lund_01015,Building,Estate,Stately home,Mansion,Palace,Château,Architecture,Manor house,Grass,Castle,University Library,-’ Thomas MAGNY, Aug 2017,"Building,Estate,Stately home,Mansion,Palace,Château,Architecture,Manor house,Grass,Castle"
89,Lund_02015,Landmark,Architecture,Water,Tree,Building,Fountain,House,Water feature,Plant,Presidential palace,Lundagérd,j:_ Lucian Gevelegia, Aug 2008,"Landmark,Architecture,Water,Tree,Building,Fountain,House,Water feature,Plant,Presidential palace"
90,Lund_00548,Landmark,Architecture,Building,Sky,City,Facade,Church,Classical architecture,Medieval architecture,Cathedral,Lund Cathedral,"f“""‘ Benjamin Zingse", Aug 2017,"Landmark,Architecture,Building,Sky,City,Facade,Church,Classical architecture,Medieval architecture,Cathedral"
91,Lund_00346,Architecture,Landmark,Building,Medieval architecture,Cathedral,Classical architecture,Sky,Place of worship,City,Church,[T e T T T,R LI EE], Aug 2017,"Architecture,Landmark,Building,Medieval architecture,Cathedral,Classical architecture,Sky,Place of worship,City,Church"
92,Lund_00676,City,Building,Town,Human settlement,Architecture,Landmark,Neighbourhood,Public space,Town square,Plaza,[T e T T T,@ Daniel Klein, Aug 2018,"City,Building,Town,Human settlement,Architecture,Landmark,Neighbourhood,Public space,Town square,Plaza"
93,Lund_01400,Town,Property,Building,Public space,City,Town square,Sky,Architecture,Plaza,Photography,Stortorget :,UIf Danielsson, Aug 2017,"Town,Property,Building,Public space,City,Town square,Sky,Architecture,Plaza,Photography"
94,Lund_02445,Building,Architecture,Property,Neighbourhood,Residential area,House,Apartment,Human settlement,Urban area,Estate,Asylen,ﬁ BN PN R, Aug 2017,"Building,Architecture,Property,Neighbourhood,Residential area,House,Apartment,Human settlement,Urban area,Estate"
95,Lund_00253,Château,Estate,Building,Property,Landmark,Stately home,Palace,Manor house,Architecture,Castle,Grand Hotel Lund,K  Kristian Rigbolt, Aug 2016,"Château,Estate,Building,Property,Landmark,Stately home,Palace,Manor house,Architecture,Castle"
96,Lund_01629,Residential area,Building,Neighbourhood,Property,Town,Human settlement,Architecture,Metropolitan area,Urban area,Mixed-use,Another parking plac,Gabor Papp, Aug 2016,"Residential area,Building,Neighbourhood,Property,Town,Human settlement,Architecture,Metropolitan area,Urban area,Mixed-use"
97,Lund_00416,Building,Classical architecture,Landmark,Architecture,Property,Palace,Mansion,Official residence,Facade,House,Lundagérd,ESRVNTISVIN: Y, Aug 2017,"Building,Classical architecture,Landmark,Architecture,Property,Palace,Mansion,Official residence,Facade,House"
98,Lund_02282,Sky,Land lot,Pasture,Cloud,Grass,Grassland,Rural area,Fence,Plain,Landscape,CircleK,e Thanon Shamel, Aug 2016,"Sky,Land lot,Pasture,Cloud,Grass,Grassland,Rural area,Fence,Plain,Landscape"
99,Lund_01065,Landmark,Architecture,Building,Town,Medieval architecture,Sky,Church,City,Steeple,Place of worship,Lundagérd,[ Q‘ Ronan Watson, Aug 2017,"Landmark,Architecture,Building,Town,Medieval architecture,Sky,Church,City,Steeple,Place of worship"
100,Lund_00793,Building,Palace,Estate,Mansion,Château,Official residence,Stately home,Manor house,Architecture,Classical architecture,[T TV HTET 3 T,a Abubakar M, Aug 2017,"Building,Palace,Estate,Mansion,Château,Official residence,Stately home,Manor house,Architecture,Classical architecture"
101,Lund_00767,Building,Estate,Landmark,Mansion,Property,Palace,Architecture,Sky,House,Official residence,Lundagérd,‘ Hakan Dahlstromn, Aug 2018,"Building,Estate,Landmark,Mansion,Property,Palace,Architecture,Sky,House,Official residence"
102,Lund_01923,Landmark,Town,Architecture,Building,City,Sky,Tower,Urban area,Street,Tourism,Lund Cathedral,A  Alejandro Carrillc, Aug 2016,"Landmark,Town,Architecture,Building,City,Sky,Tower,Urban area,Street,Tourism"
103,Lund_01113,Estate,Building,Property,Palace,House,Château,Mansion,Tree,Architecture,Stately home,Lundagérd 9,*g Bogdan Tatar, Aug 2018,"Estate,Building,Property,Palace,House,Château,Mansion,Tree,Architecture,Stately home"
104,Lund_01346,Landmark,Building,Medieval architecture,Tree,Estate,Architecture,Thoroughfare,Historic site,Château,,[T TV HTET 0 T,Fritz Winkler, Aug 2018,
105,Lund_01667,Building,Classical architecture,Landmark,Architecture,Palace,Facade,Château,City,Estate,Official residence,[TV T,Q Jonas Kirkegaart, Aug 2017,"Building,Classical architecture,Landmark,Architecture,Palace,Facade,Château,City,Estate,Official residence"
106,Lund_00466,Building,Landmark,Palace,Architecture,Château,Facade,Estate,Stately home,Classical architecture,Official residence,Lundagérd,G  Giliana Gallegra, Aug 2018,"Building,Landmark,Palace,Architecture,Château,Facade,Estate,Stately home,Classical architecture,Official residence"
107,Lund_01521,Town,Landmark,City,Human settlement,Town square,Public space,Plaza,Street,Building,Flag,Lund Cathedral,Pedro Andrés Bo, Aug 2016,"Town,Landmark,City,Human settlement,Town square,Public space,Plaza,Street,Building,Flag"
108,Lund_01046,Architecture,Landmark,Medieval architecture,Sky,Building,Tower,Classical architecture,Facade,Church,City,Lund Cathedral,VR LEE L C e Ll, Aug 2017,"Architecture,Landmark,Medieval architecture,Sky,Building,Tower,Classical architecture,Facade,Church,City"
109,Lund_01099,Building,Landmark,Architecture,City,Tree,Facade,Metropolitan area,Cathedral,Medieval architecture,Church,Lund Cathedral,Q Tiinde Vigyinszki, Aug 2017,"Building,Landmark,Architecture,City,Tree,Facade,Metropolitan area,Cathedral,Medieval architecture,Church"
110,Lund_01591,Classical architecture,Building,Architecture,Landmark,Palace,Facade,Tourist attraction,City,Official residence,Mansion,Lundagérd 9,*9 Bogdan Tatar, Aug 2018,"Classical architecture,Building,Architecture,Landmark,Palace,Facade,Tourist attraction,City,Official residence,Mansion"
