a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
Lund_01118,Estate,Property,Building,Mansion,Architecture,House,Stately home,Palace,Manor house,Official residence,Lundagérd,@ yunus samet hali, Jan 2014
Lund_00637,Building,Landmark,Architecture,Property,Classical architecture,Mansion,Palace,Estate,House,Facade,Lundagérd ¢,. Liv, Jan 2017
Lund_01672,Architecture,Building,Town,Urban area,Facade,Human settlement,City,Metropolitan area,Mixed-use,Neighbourhood,World Trade Center L,Johannes Rydbe!, Jan 2017
Lund_02568,Natural landscape,Tree,Nature reserve,Grass,Rural area,Farm,Table,Spring,Grassland,Furniture,Nobbelbvs mosse,3 Michael Hanssor, Jan 2018
Lund_02057,Town,Landmark,City,Architecture,Building,Street,Pedestrian,Public space,Human settlement,Urban area,Lund Botulfsplatsen,Joseph Mukama, Jan 2018
Lund_01602,Building,Architecture,Landmark,Town,Urban area,Medieval architecture,City,Human settlement,Tree,House,Chateau 8,Q (T QT T, Jan 2017
Lund_00968,Architecture,Building,Medieval architecture,Landmark,Sky,Gothic architecture,Cathedral,Place of worship,Classical architecture,City,Lund Cathedral,Joseph Mukama, Jan 2018
Lund_00030,Property,Building,Mansion,Estate,Stately home,House,Palace,Architecture,Real estate,Manor house,@ Yamanbg BULGA,@ Yamanbg BULGA, Jan 2018
Lund_02909,Property,House,Roof,Building,Home,Vehicle,Tree,Car,Residential area,Real estate,bread Lab 1,§ Er Kent Lundgren, Jan 2018
Lund_02689,Property,House,Home,Building,Real estate,Sky,Rural area,Tree,Architecture,Landscape,Lilla Coop g,&L TheSantoan, Jan 2017
Lund_01709,Sky,Mountain,Cloud,City,Recreation,Landscape,Tourist attraction,Winter,Roof,Park,Chadis Livs,Rohan Jn. Baptis, Jan 2017
Lund_01809,Building,Town,Mixed-use,Neighbourhood,Architecture,Facade,City,House,Vehicle,Metropolitan area,Coop Konsum,Henrik Queckfelc, Jan 2017
Lund_02109,Residential area,Road,Neighbourhood,Human settlement,Town,Metropolitan area,Suburb,Architecture,City,Urban area,Sparbanken Skane A,Petter Olofsson, Jan 2017
Lund_01180,Building,Landmark,Architecture,Town,Medieval architecture,Stately home,Palace,Urban area,Facade,City,ISLK International Sc,Jeong Han Lee, Jan 2018
Lund_01837,Fountain,Water,Architecture,Water feature,Tree,Plant,Building,Park,Memorial,,Lundagérd vid Unive,@ (T QT T, Jan 2017
Lund_00072,Landmark,Architecture,Building,Tower,Medieval architecture,Facade,City,Cathedral,Classical architecture,Sky,@ Yamanbg BULGA,@ Yamanbg BULGA, Jan 2018
Lund_02370,Gym,Physical fitness,Sport venue,Weights,Room,Strength training,Weight training,Exercise equipment,Flooring,Weightlifting machine,Actic Vikingahallen,ﬂ) Mr.Roman Lak, Jan 2018
Lund_01679,Landmark,Building,Architecture,Winter,Property,Mansion,Classical architecture,Snow,Estate,Palace,Lundagérd {,Medar Simsek, Jan 2016
Lund_00169,Town,Building,Architecture,Tourism,Medieval architecture,Historic site,Travel,Cobblestone,Street,Abbey,@ Yamanbg BULGA,@ Yamanbg BULGA, Jan 2018
Lund_00185,Town,Building,Human settlement,Public space,Property,City,Architecture,Pedestrian,Campus,College,@ Yamanbg BULGA,@ Yamanbg BULGA, Jan 2018
Lund_02273,Shed,Shack,Grass,Log cabin,Wood,Tree,Building,Land lot,Outhouse,House,L TR TR,Michael Hanssor, Jan 2018
Lund_02565,Grassland,Farm,Pasture,Land lot,Rural area,Plain,Yurt,Grass,Hut,Meadow,Nobbelbvs mosse,3 Michael Hanssor, Jan 2018
Lund_00171,Public space,Town,Tourism,Travel,Building,City,Architecture,Town square,Vacation,Plaza,@ Yamanbg BULGA,@ Yamanbg BULGA, Jan 2018
Lund_01684,Landmark,White,Medieval architecture,Architecture,Classical architecture,Building,Place of worship,Cathedral,Gothic architecture,Black-and-white,[T T o1 T 1T,Yue Zhao, Jan 2018
Lund_00638,Building,Landmark,Architecture,Property,Classical architecture,Mansion,Palace,Estate,House,Facade,Lundagérd ¢,. Liv, Jan 2017
Lund_01087,Building,Property,Landmark,Architecture,House,Mansion,Estate,Historic house,Stately home,Tree,[T TV TTET 3 T,[T TV TTET 3 T, Jan 2018
Lund_02588,Body of water,Natural landscape,Sky,Water,Reflection,Cloud,Tree,Natural environment,Lake,Water resources,Nobbelbvs mosse,Q‘ Markus Olsson, Jan 2018
Lund_02902,Floor,Building,Flooring,Room,Table,Leisure centre,Interior design,Architecture,Leisure,Hardwood,Actic Vikingahallen,ﬂ) Mr.Roman Lak, Jan 2018
Lund_02140,Building,Architecture,Landmark,City,Town,Human settlement,Mixed-use,Urban area,Facade,Sky,WAYNE'S COFFEE ;,@ (T QT T, Jan 2017
Lund_00893,Landmark,Architecture,Building,Dome,House,Estate,Tree,Medieval architecture,Byzantine architecture,Historic site,The Lund Planetariui,6 IR DL, Jan 2015
Lund_00149,Town,Building,Tourism,Architecture,City,Vacation,House,Leisure,Town square,Plaza,@ Yamanbg BULGA,@ Yamanbg BULGA, Jan 2018
Lund_01788,Estate,Building,Palace,Mansion,Classical architecture,Landmark,Architecture,Property,Château,Stately home,Lundagérd c,ahmed adnan, Jan 2016
Lund_01402,Building,Architecture,Landmark,Medieval architecture,Steeple,Church,Sky,City,Spire,Place of worship,Lund Cathedral,Lituanica Apartrr, Jan 2018
Lund_01784,Landmark,Architecture,Building,Medieval architecture,Dome,Place of worship,Classical architecture,Dome,Baptistery,Church,Lund Cathedral ¢,Neha Soni, Jan 2018
Lund_02172,Landmark,Medieval architecture,Architecture,Building,Facade,Classical architecture,Cathedral,Place of worship,Historic site,Gothic architecture,[T T o1 T 1T,[T T o1 T 1T, Jan 2017
Lund_00301,Medieval architecture,Landmark,Building,Architecture,Property,Stately home,Estate,Castle,Château,Mansion,Lundagérd,@ yunus samet hali, Jan 2014
Lund_01156,Building,Landmark,Architecture,Stately home,Medieval architecture,Palace,Facade,Estate,Classical architecture,Listed building,Chateau 8,Q (T QT T, Jan 2017
Lund_00517,Building,Estate,Classical architecture,Landmark,Mansion,Palace,Official residence,Property,Stately home,Architecture,Lundagard ¢,. (TR, Jan 2017
Lund_02394,Building,Architecture,Property,House,Facade,Home,Real estate,Window,Mixed-use,Commercial building,Greenhouse,N ' New Greenhouse, Jan 2018
Lund_02681,Bank,Waterway,Water,Ditch,Geological phenomenon,Watercourse,Bog,Tree,River,Stream,Rinnebick Gorge,A Adam Schill Collt, Jan 2017
Lund_03032,Sport venue,Tennis court,Leisure centre,Tennis,Leisure,Racquet sport,Sports,Line,Net,Tennis Equipment,Actic Vikingahallen,ﬂ) Mr.Roman Lak, Jan 2018
Lund_02399,Grassland,Pasture,Grass,Land lot,Natural landscape,Natural environment,Field,Meadow,Lawn,Grass family,Nobbelbvs mosse,3 Michael Hanssor, Jan 2018
Lund_01447,Snow,Winter,Building,Architecture,Freezing,City,Facade,House,Manor house,Château,University Library,Gianluca Capriol, Jan 2017
Lund_02791,Holy places,Arch,Building,Architecture,Chapel,Interior design,Place of worship,Church,Byzantine architecture,Vault,Lund,g// Muhammdad AH, Jan 2017
Lund_02097,Medieval architecture,Landmark,Architecture,Building,Wall,Historic site,Spire,Sky,Steeple,Abbey,Dom zu Lund,Harald Maidhof, Jan 2017
Lund_00632,Building,Architecture,Medieval architecture,Church,Place of worship,Parish,Sky,Chapel,Facade,Tree,Klosterkyrkan ¢,‘ John Eckerdal, Jan 2018
Lund_01894,Building,Architecture,Property,Landmark,House,Neighbourhood,Facade,City,Real estate,Tree,Historiska Museet Lt,@ (T QT T, Jan 2017
