a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
Lund_02248,Water resources,Body of water,Water,Bank,River,Waterway,Natural environment,Natural landscape,Reservoir,Watercourse,Nobbelbvs mosse,:&‘ Shaon Mazi, Apr 2017
Lund_02546,Sport venue,Grass,Team sport,Player,Stadium,Sports,Sky,Ball game,,,Klostergérdens IP,U  ulf svanstrom, Apr 2018
Lund_01442,Pond,Bank,Natural landscape,Tree,Spring,Waterway,Botany,Botanical garden,Water,,Botanical Garden,% watt, Apr 2018
Lund_00355,Building,Estate,Property,Mansion,Château,Stately home,Manor house,Palace,Architecture,,Grand Hotel Lund,3‘ JY R T R, Apr 2017
Lund_03078,Property,Residential area,Land lot,Architecture,,,,,,,HSB BRF Linero I Lui,9 Travel to, Apr 2017
Lund_00008,Landmark,Spire,Building,Architecture,Steeple,Church,Place of worship,Parish,Tree,Sky,%~ Juliane Vigané,%~ Juliane Vigané, Apr 2018
Lund_00280,Castle,Property,Architecture,Building,Estate,,,,,,Lundagérd,"%, Juliane Vigan6", Apr 2018
Lund_00878,,,,,,,,,,,Lillemans MC,N Nemo Ekstrém, Apr 2017
Lund_00046,Historic site,Wall,Medieval architecture,Architecture,Building,Fortification,Arch,,,,%~ Juliane Vigané,%~ Juliane Vigané, Apr 2018
Lund_03144,Sky,Cloud,Grassland,Daytime,Field,Nature,Green,Plain,Natural landscape,Cumulus,Northward view at Lt,S Sanbao Xu, Apr 2013
Lund_02253,Natural landscape,Road,Land lot,Trail,Property,Nature reserve,Thoroughfare,Dirt road,,,[T ¢,. Sookyong Lee, Apr 2017
Lund_01780,Classical architecture,Architecture,Building,Landmark,Facade,,,,,,Lundagérd 9,IR G, Apr 2018
Lund_01078,Residential area,Sky,Daytime,Architecture,Urban area,Property,Tree,Metropolitan area,Condominium,Neighbourhood,Bjeredsparken ¢,@ NI R, Apr 2018
Lund_00475,Building,Property,Estate,Château,Landmark,Architecture,Mansion,Manor house,Sky,Stately home,Grand Hotel Lund,K Kristina Johanss, Apr 2017
Lund_00432,Landmark,Architecture,Building,Sky,Town,Church,,,,,Lund Cathedral g,a ) andrea lucaci, Apr 2018
Lund_02508,Building,,,,,,,,,,CircleK,m  meelis melsusi@, Apr 2018
Lund_00014,Landmark,Medieval architecture,Architecture,Building,Place of worship,Classical architecture,Church,Sky,Facade,Cathedral,%~ Juliane Vigané,%~ Juliane Vigané, Apr 2018
Lund_00997,Body of water,Water,Water resources,Reflection,Waterway,Natural landscape,Watercourse,Bank,Pond,House,Kulturen,M Maria Klanac, Apr 2018
Lund_00858,Landmark,Building,Medieval architecture,Church,Architecture,Sky,,,,,Klosterkyrkan,R LE O T, Apr 2017
Lund_01440,Pond,Bank,Natural landscape,Tree,Spring,Waterway,Botany,Botanical garden,Water,,Botanical Garden,FRiRf, Apr 2018
Lund_00229,Landmark,Building,Palace,Estate,Architecture,Classical architecture,Mansion,Stately home,Official residence,,% William Térneber,% William Térneber, Apr 2018
Lund_00393,Landmark,Palace,Mansion,Building,Estate,Property,Architecture,Stately home,,,Lundagérd,D) Dimitris Basinos, Apr 2009
Lund_00259,Landmark,Medieval architecture,Building,Architecture,Château,Estate,Stately home,Baptistery,,,[T L He 1 BT,& Timofei Muntean, Apr 2017
Lund_00865,Estate,Building,Palace,Mansion,Stately home,Château,Landmark,Property,Manor house,Official residence,Lundagérd,M Marita Schiren, Apr 2017
Lund_00587,Landmark,Architecture,Medieval architecture,Sky,Building,Spire,Steeple,,,,Lund Cathedral :,[ ‘&f‘ (T A e, Apr 2017
Lund_00895,Water,Landmark,Building,Reflecting pool,Architecture,,,,,,Lundagérd ¢,& S ], Apr 2018
Lund_00551,Building,Architecture,Landmark,Medieval architecture,Classical architecture,Facade,,,,,Lund Cathedral,A Adeel Tajammul, Apr 2017
Lund_01711,Garden,Property,House,Estate,Botany,,,,,,Botanical Garden,Marianna Bologn, Apr 2017
Lund_00425,Landmark,City,Building,Plaza,Town,Architecture,Human settlement,Public space,Town square,,Grand Hotel Lund,0 Andrew Feiermar, Apr 2018
Lund_02093,Bank,Water,Waterway,Pond,House,Tree,Watercourse,,,,Botanical Garden,6 SN YN, Apr 2015
Lund_01441,Building,Estate,Mansion,Landmark,Classical architecture,Palace,Château,Architecture,Stately home,Official residence,Lundagérd,Yaroslav Melekh, Apr 2014
Lund_01230,Sky,Landmark,Cloud,Architecture,Tree,Town,Church,Mountain,,,Lundagérd 8,ﬁ' paul fackler, Apr 2018
Lund_02243,Sport venue,Stadium,Grass,Plain,,,,,,,Rabysjon och Raby s,ﬂ) Mr.Roman Lak, Apr 2017
Lund_00779,Building,Classical architecture,Estate,Palace,Mansion,Landmark,Official residence,Architecture,Stately home,Château,Lundagérd,% Onga osborn G, Apr 2016
Lund_01281,Building,Medieval architecture,Architecture,,,,,,,,7 O CUE,Martin Ingemans, Apr 2018
Lund_03154,Property,Building,House,Home,Real estate,Estate,,,,,Nobbelbvs mosse,:&‘ Shaon Mazi, Apr 2017
Lund_01446,Building,Estate,Mansion,Stately home,Palace,Architecture,,,,,Lundagérd 9,‘gp Patrizia Sichi, Apr 2018
Lund_02446,Tree,Property,Natural landscape,Residential area,Sky,Architecture,,,,,HSB BRF Linero I Lui,9 Travel to, Apr 2017
Lund_02326,Pasture,Grassland,Land lot,Grass,Field,Natural environment,Meadow,Lawn,Plain,Farm,Nobbelbvs mosse,:&‘ Shaon Mazi, Apr 2017
Lund_02805,Landmark,Architecture,Building,Medieval architecture,,,,,,,Beautiful view from *,R Robbert Biere, Apr 2017
Lund_00102,Grassland,Land lot,Grass,Natural environment,Meadow,Pasture,Natural landscape,Road,Tree,Plain,[T G,% aysar Farman, Apr 2018
Lund_00231,Landmark,Building,Architecture,Sky,City,Town,Human settlement,Facade,,,[T T VT,%~ Juliane Vigan6, Apr 2018
Lund_02523,Property,Residential area,Building,Architecture,House,,,,,,Lund Nordanvig,/ isam altaliqani, Apr 2018
Lund_02406,Building,,,,,,,,,,L RN LT,    , Apr 2017
Lund_01804,Building,Grass,Tree,Architecture,Public space,Campus,,,,,Lundagérd 9,2 Nl, Apr 2018
Lund_02258,Tree,Property,Natural landscape,Residential area,Sky,Architecture,,,,,HSB BRF Linero I Lui,9 Travel to, Apr 2017
Lund_01077,Classical architecture,Building,Architecture,Landmark,,,,,,,Lundagérd,% Onga osborn G, Apr 2016
Lund_02743,Architecture,Building,Facade,,,,,,,,Lund MAX IV,é Kevyn Danuway, Apr 2018
Lund_00595,Building,Sky,Property,Architecture,Landmark,Estate,Palace,Human settlement,City,Stately home,Lundagérd ¢,"""\ Katerina Morfi .", Apr 2017
Lund_02035,Property,Town,Building,House,,,,,,,B Malmgren's Cycle :,# Viktor Erik Jense, Apr 2017
Lund_00635,Landmark,Architecture,Building,Medieval architecture,,,,,,,Lundagérd,@ 3Tl ), Apr 2018
Lund_02659,Property,Land lot,House,Residential area,Real estate,Home,,,,,Lund Vérpinge by,(é\; NG T LR, Apr 2010
Lund_00247,Estate,Building,Mansion,Property,Palace,Landmark,Stately home,Official residence,Château,Architecture,Lundagérd,% William Térneber, Apr 2018
Lund_01980,Property,Town,Building,House,Architecture,,,,,,Kulturen,‘ Marion Kaletta, Apr 2018
Lund_01525,Body of water,Pond,Bank,Water,Waterway,Reflection,Natural landscape,Tree,Canal,River,Botanical Garden,Jens Jgrgen Lykk, Apr 2018
Lund_00803,Classical architecture,Architecture,Landmark,Building,Daytime,Sky,Facade,,,,Lundagérd,B Bengt Ljungquist, Apr 2018
Lund_00596,Landmark,Building,Town,Property,Architecture,City,Human settlement,,,,Katedral High Schoo,S Sanbao Xu, Apr 2013
Lund_02142,Property,Building,Architecture,Town,,,,,,,Kulturen,‘ Marion Kaletta, Apr 2018
Lund_01371,Building,Property,,,,,,,,,Daniel Danhejd,Daniel Danhejd, Apr 2018
Lund_01240,Landmark,Medieval architecture,Architecture,Building,Classical architecture,Historic site,Place of worship,Facade,Church,,[T T o1 T T T,melonhayes, Apr 2017
Lund_02683,Property,House,Home,Tree,Building,,,,,,Shaon Mazi,Shaon Mazi, Apr 2017
Lund_02622,Residential area,Property,Architecture,Building,House,Apartment,Real estate,Facade,Neighbourhood,,HSB BRF Linero I Lui,9 Travel to, Apr 2017
Lund_00352,Landmark,Building,Medieval architecture,Architecture,Stately home,Castle,,,,,Lundagérd {,&: SERAP PEKER, Apr 2018
Lund_01633,Architecture,Building,Medieval architecture,Landmark,Classical architecture,Place of worship,Cathedral,Gothic architecture,,,Lund Cathedral,Erik Sven Mauroy, Apr 2017
Lund_01764,Landmark,Building,Palace,Estate,Mansion,Château,Architecture,Stately home,,,Lundagérd 9,Lundagérd 9, Apr 2014
Lund_01378,Architecture,Building,Water,,,,,,,,Kulturen,‘ Marion Kaletta, Apr 2018
Lund_02760,Sport venue,Net,Player,Grass,Team sport,,,,,,Klostergérdens IP,M) Matthew H. Motz, Apr 2018
Lund_00946,Building,Classical architecture,Architecture,Landmark,Property,Mansion,House,Palace,,,Lundagérd,’ Lisa Vult von Ste, Apr 2017
Lund_02427,Property,House,Building,Land lot,Roof,Grass,Cottage,,,,Kulturen,Peter Denton, Apr 2017
Lund_01034,Garden,Grass,Botanical garden,Botany,Park,Tree,Lawn,Spring,,,Stadsparken,6’:‘.‘ Casper Johansst, Apr 2018
Lund_01174,Sky,Cloud,Landmark,Architecture,Town,Wilderness,Tree,Mountain,Urban area,,Lundagérd g,ﬁ' paul fackler, Apr 2018
Lund_01557,Estate,Building,Mansion,Palace,Landmark,Property,Architecture,Stately home,Official residence,,Lundagérd 9,Matilda Berg, Apr 2017
Lund_00312,Landmark,Architecture,Building,Classical architecture,Medieval architecture,Place of worship,Sky,Cathedral,,,[T T o1 T T T,b melonhayes, Apr 2017
Lund_01538,Building,Architecture,Town,,,,,,,,Stadshall Lund,B Benoit Destrebec, Apr 2017
Lund_01201,Landmark,Architecture,Sky,Building,Town,Church,City,Facade,Urban area,Cathedral,Lund Cathedral,SR T IR, Apr 2017
Lund_02542,Land lot,Pasture,Grassland,Natural environment,Meadow,Natural landscape,Grass,Tree,,,Shaon Mazi,Shaon Mazi, Apr 2017
Lund_02724,Land lot,Road,Field,Soil,Plain,,,,,,Nobbelbvs mosse,:&‘ Shaon Mazi, Apr 2017
Lund_01922,Landmark,Medieval architecture,Architecture,Building,Facade,Cathedral,Gothic architecture,,,,Lund Cathedral,A Adeel Tajammul, Apr 2017
Lund_02676,Natural landscape,Tree,Grass,Walking,,,,,,,Rinnebick Gorge,Rinnebick Gorge, Apr 2018
Lund_02350,Sport venue,Team sport,Ball game,Player,Grass,Football,Soccer-specific stadium,Sports,Soccer,Competition event,Klostergérdens IP,U  ulf svanstrom, Apr 2018
Lund_02318,Transport,Architecture,Building,Facade,,,,,,,Biltema,Mikael Jisander, Apr 2018
Lund_01823,Landmark,Architecture,Building,Medieval architecture,Classical architecture,Sky,Church,Facade,,,[T T o1 T T T I,[T T o1 T T T I, Apr 2018
Lund_00720,Estate,Building,Landmark,Property,Sky,Mansion,Palace,Stately home,Architecture,,Lundagérd,@ Bjarne Rosengrel, Apr 2017
Lund_02744,Grass,Soil,Sky,,,,,,,,Klosteréngshojden,Q Peter Nordensva, Apr 2017
Lund_01895,Estate,Property,Building,Mansion,Stately home,Architecture,Manor house,Château,,,Lundagérd 9,Adrian Wach, Apr 2014
Lund_02554,Natural landscape,Natural environment,Sky,Land lot,Grassland,Prairie,Plain,,,,[T 3,Q’ Ani Vera, Apr 2018 I
