a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
Lund_01263,Landmark,Building,Architecture,Town,Sky,Tower,,,,,Lund Cathedral c,Martin Dérner, Aug 2017
Lund_01492,Landmark,Building,Architecture,Medieval architecture,Cathedral,Place of worship,Classical architecture,Church,Facade,,Lund Cathedral,RICUCEIEE, Aug 2016
Lund_00966,Building,Landmark,Architecture,Classical architecture,Estate,House,,,,,Lundagérd 9,@ Daniel Klein, Aug 2018
Lund_02066,Sky,Sport venue,Natural landscape,Grass,Green,Land lot,Grassland,Property,Natural environment,Tree,Lund Oval 3,Abin Thomas, Aug 2016
Lund_01874,Property,Estate,Building,House,Home,,,,,,Kulturen,CamodJan, Aug 2016
Lund_00218,Night,Light,Lighting,Architecture,Building,,,,,,"‘é"" [N","‘é"" [N", Aug 2018
Lund_00967,Property,Garden,Lawn,Estate,Natural landscape,Grass,Tree,Landscaping,House,Botanical garden,Botanical Garden,"':,(”; Bin Ma", Aug 2017
Lund_00232,Lighting,Night,Building,,,,,,,,"‘é"" [N","‘é"" [N", Aug 2018
Lund_01340,Property,Garden,House,Estate,Botany,Spring,,,,,Botanical Garden,Olga Bachkala, Aug 2016
Lund_00077,Medieval architecture,Landmark,Building,Architecture,Historic site,,,,,,"‘é"" [N","‘é"" [N", Aug 2018
Lund_02149,Property,Building,House,Real estate,Architecture,Neighbourhood,Residential area,Apartment,,,OLYMPUS DIGITAL C,Anna Lagerkvist, Aug 2003
Lund_01192,Water,Landmark,Waterway,Reflection,Reflecting pool,,,,,,Lundagérd,S GEERS Wy, Aug 2018
Lund_01599,Classical architecture,Building,Architecture,Landmark,Palace,Facade,,,,,Lundagérd 9,*9 Bogdan Tatar, Aug 2018
Lund_02445,Building,Architecture,Property,Neighbourhood,Residential area,House,Apartment,Human settlement,Urban area,,Asylen,ﬁ BN PN R, Aug 2017
Lund_01539,Landmark,Building,Architecture,Medieval architecture,Sky,Facade,,,,,Lund Cathedral,; P RS E, Aug 2017
Lund_00369,Building,Architecture,Landmark,Property,,,,,,,Lundagérd,C Carmelo Pellegri, Aug 2017
Lund_02021,Building,Campus,College,Property,Estate,Public space,Town,Human settlement,,,Lundagérd,Salvatore De Pao, Aug 2017
Lund_01212,Building,Public space,Property,City,Tree,Architecture,Human settlement,Town,Campus,Neighbourhood,Lundagérd,‘i\; MONICA MARIN(, Aug 2017
Lund_01290,Garden,Botanical garden,Shrub,Lawn,Tree,Natural landscape,Flower,Plant,Spring,Botany,Botanical Garden,Krisztina Boldisn, Aug 2016
Lund_02832,Aerial photography,Residential area,Suburb,Bird's-eye view,Metropolitan area,Urban area,Neighbourhood,Urban design,City,Human settlement,Lundagérd 8,@ Daniel Klein, Aug 2018
Lund_02835,Classical architecture,Landmark,Architecture,Building,Facade,,,,,,Lundagérd,Aleksandras Ples, Aug 2013
Lund_00428,Estate,Property,Building,Architecture,Stately home,,,,,,University Library,A  Alejandro Carrillc, Aug 2016
Lund_03199,Landmark,Building,Architecture,Medieval architecture,Classical architecture,Church,Steeple,Place of worship,,,[T L He 1 BT,qﬁi Maxime LMA, Aug 2018
Lund_01777,Architecture,Building,Sky,Commercial building,,,,,,,Sigma Connectivity /,Birgit Pia Nghr, Aug 2016
Lund_02117,Landmark,Building,Architecture,Town,Urban area,City,,,,,[T TV HTET 3 T,a Abubakar M, Aug 2017
Lund_00168,Tree,Woody plant,Plant,,,,,,,,"‘é"" [N","‘é"" [N", Aug 2018
Lund_01373,Landmark,Building,Architecture,Town,Steeple,Medieval architecture,Church,Cathedral,City,Sky,Lundagérd,Antonella Torrett, Aug 2017
Lund_01523,Wall,Castle,Building,Architecture,Fortification,Medieval architecture,,,,,Lundagérd,"(&, =1 0 YT", Aug 2017
Lund_01445,Property,Building,Estate,House,Architecture,Tree,Stately home,Sky,,,University Library,A  Alejandro Carrillc, Aug 2016
Lund_01983,Medieval architecture,Building,Architecture,Landmark,Church,,,,,,Lund Cathedral,\g\ Thomas Crahay, Aug 2017
Lund_00740,Building,Landmark,Architecture,Church,Parish,Medieval architecture,Place of worship,,,,[T TV HTET 3 T,a Abubakar M, Aug 2017
Lund_00107,Body of water,Shore,Water resources,Rock,Water,Coast,Bank,Waterway,,,"‘é"" [N","‘é"" [N", Aug 2018
Lund_01665,Garden,Water,Botanical garden,Natural landscape,Botany,Fountain,Tree,Pond,,,Lundagérd 9,6 Rene Wagner, Aug 2017
Lund_00031,Building,Classical architecture,Architecture,Landmark,Property,Facade,Official residence,Palace,,,"‘é"" [N","‘é"" [N", Aug 2018
Lund_00802,Urban area,City,Roof,Architecture,Building,Human settlement,Town,Metropolitan area,,,[TV T :,qf‘gu Kaveh Kamran, Aug 2017
Lund_02227,Sky,Motor vehicle,Residential area,Road,Cloud,Urban area,Transport,Town,,,Lunds Bollklubb,Florian Weissbac, Aug 2018
Lund_02036,Sky,Cloud,Water,Reflection,Architecture,River,Morning,,,,Nova,Leif Tomas Olssc, Aug 2017
Lund_02005,Building,Estate,Mansion,Property,Palace,House,Stately home,Official residence,Architecture,,Lundagérd c,Matic Smodis, Aug 2016
Lund_02438,Natural landscape,Body of water,Nature,Sky,Vegetation,Nature reserve,Water resources,Water,Lake,Natural environment,L TR TR,O ) Olexiy Avramche!, Aug 2017
Lund_01789,Town,City,Human settlement,Public space,Tourism,Landmark,Pedestrian,Town square,Architecture,Building,[T TV HTET 3 T,a Abubakar M, Aug 2017
Lund_00151,City,Town,Town square,Tree,Plaza,Public space,Human settlement,Building,Mixed-use,Street,"‘é"" [N","‘é"" [N", Aug 2018
Lund_00701,Classical architecture,Landmark,Architecture,Building,Facade,,,,,,Lundagérd 9,@ Rene Wagner, Aug 2017
Lund_01457,Landmark,Architecture,Classical architecture,Building,Facade,,,,,,Kulturen,Colin Nelson, Aug 2018
Lund_02507,Sport venue,Stadium,Soccer-specific stadium,Team sport,Player,Sports,,,,,Klostergérdens IP,Florian Weissbac, Aug 2017
Lund_02020,Property,House,Building,Architecture,Estate,,,,,,Kulturen |,Kulturen |, Aug 2016
Lund_00092,Building,Town,,,,,,,,,"‘é"" [N","‘é"" [N", Aug 2018
Lund_00427,Landmark,Medieval architecture,Building,Architecture,Classical architecture,Spire,Steeple,Church,Place of worship,,Lundagérd 9,PR LED T, Aug 2014
Lund_01813,Public space,,,,,,,,,,Lundagérd 9,—i' BTy S, Aug 2018
Lund_01639,Residential area,Building,Neighbourhood,Property,Town,Human settlement,Architecture,Metropolitan area,Urban area,Mixed-use,The More Hotel Lunc,@ Gabor Papp, Aug 2016
Lund_00522,Building,Estate,Landmark,Architecture,Palace,Mansion,Classical architecture,Property,Stately home,Official residence,Lundagérd 9,(o) JoL RV, Aug 2018
Lund_01353,Landmark,Building,,,,,,,,,Lundagérd 9,Nadia Naji, Aug 2014
Lund_01129,Property,Building,House,Residential area,Town,Home,Architecture,Real estate,Neighbourhood,Estate,Kulturen,"""“ Kcenus Llanosa", Aug 2017
Lund_02375,Field,Sky,Land lot,Rural area,Farm,Tree,Grass family,,,,Nobbel6vs mosse,i\ 1T T, Aug 2014
Lund_00877,Landmark,Architecture,Tree,Building,Estate,,,,,,Stadsparken,C Carmelo Pellegri, Aug 2017
Lund_00379,Building,Estate,Property,Palace,Architecture,Landmark,Mansion,Sky,House,Château,[T TV TTET 3 T,[T TV TTET 3 T, Aug 2016
Lund_01099,Building,Landmark,Architecture,City,,,,,,,Lund Cathedral,Q Tiinde Vigyinszki, Aug 2017
Lund_00086,Classical architecture,Architecture,Landmark,Column,Building,Facade,,,,,‘i’) [N,‘i’) [N, Aug 2018
Lund_00226,Landmark,Building,Architecture,Sky,Medieval architecture,Classical architecture,Place of worship,Cathedral,City,Church,Lund Cathedral,Q Jonas Kirkegaart, Aug 2017
Lund_00700,Landmark,Architecture,Building,Sky,Medieval architecture,Cathedral,Town,City,Gothic architecture,Facade,Lundagérd 9,//*5;' Streifi Greif, Aug 2017
Lund_02056,Building,Architecture,Landmark,Palace,Estate,Mansion,Property,Classical architecture,House,Sky,Lundagard ¢,21308, Aug 2018
Lund_01001,Fountain,Water,Water resources,Water feature,,,,,,,Stadsparken i Lund,Stadsparken i Lund, Aug 2016
Lund_00984,Estate,Property,Building,Mansion,House,Palace,Architecture,,,,Lundagérd,& MONICA MARIN(, Aug 2017
Lund_00544,Landmark,Building,Classical architecture,Architecture,Mansion,Estate,Property,Palace,Official residence,,Lundagérd 8,6 W Matecki, Aug 2012
Lund_02594,Building,Boutique,Retail,Outlet store,,,,,,,Hep Cat Store,‘4 »i Martin Lannerés, Aug 2018
Lund_01328,Building,Estate,Property,Landmark,Mansion,Palace,Architecture,Official residence,Stately home,,Lundagérd 8,qﬁi Maxime LMA, Aug 2018
Lund_01015,Building,Estate,Stately home,Mansion,,,,,,,University Library,-’ Thomas MAGNY, Aug 2017
Lund_02191,Property,Building,House,Architecture,Town,,,,,,Asylen,ﬁ BN PN R, Aug 2017
Lund_00118,Natural landscape,Tree,Table,Furniture,,,,,,,"‘é"" [N","‘é"" [N", Aug 2018
Lund_00516,Building,Estate,Mansion,Property,Palace,Landmark,Stately home,Architecture,Classical architecture,Official residence,Lundagard ¢,. 21308, Aug 2018
Lund_00116,Building,Facade,Architecture,,,,,,,,"‘é"" [N","‘é"" [N", Aug 2018
Lund_01439,Landmark,Architecture,Building,Medieval architecture,Town,,,,,,[T TV HTET 3 T,a Abubakar M, Aug 2017
Lund_00179,Landmark,Building,Architecture,Clock tower,Medieval architecture,Facade,Classical architecture,,,,‘i’) [N,‘i’) [N, Aug 2018
Lund_01255,Sky,Public space,Grass,Building,,,,,,,Lundagérd,Helga Esteban M, Aug 2017
Lund_01135,Building,Landmark,Property,Architecture,Town,City,Stately home,Public space,,,[T TV HTET 3 T,a Abubakar M, Aug 2017
Lund_01607,Town,City,Human settlement,Street,Public space,Town square,Landmark,Building,Architecture,Cobblestone,[T TV HTET 3 T,a Abubakar M, Aug 2017
Lund_01312,Landmark,Building,Property,House,Architecture,Mansion,Town,Estate,Sky,,LT T :,Oleg Prosekov, Aug 2017
Lund_02571,Grassland,Pasture,Natural environment,Sky,Natural landscape,Green,Meadow,Grass,Plain,Land lot,Rinnebick Gorge 2,ﬁ Ani Vera, Aug 2017
Lund_02111,Landmark,Building,Architecture,,,,,,,,Lundagérd 8,@ Erik Westrup, Aug 2013
Lund_02228,Property,Grass,Transport,Residential area,Land lot,Public space,Tree,Architecture,,,CircleK,Thanon Shamel, Aug 2016
Lund_01738,Garden,Lawn,Yard,Natural landscape,Botanical garden,Grass,Walkway,Landscape,Flower,Landscaping,Botanical Garden,Hasse Johansso, Aug 2017
Lund_00377,Estate,Building,Property,Mansion,Landmark,Palace,Stately home,Manor house,Architecture,Château,Lundagérd,L) UIf Zimmermann, Aug 2018
Lund_01485,Garden,Botanical garden,Property,Natural landscape,Lawn,Grass,Landscape,Shrub,Landscaping,Botany,Botanical Garden,Michael Sturaro, Aug 2016
Lund_01667,Building,Classical architecture,Landmark,Architecture,Palace,Facade,,,,,[TV T,Q Jonas Kirkegaart, Aug 2017
Lund_00039,Building,Property,House,Architecture,Town,,,,,,@ Arlette Codnich,@ Arlette Codnich, Aug 2013
Lund_00470,Landmark,Building,Architecture,Medieval architecture,Classical architecture,Church,Steeple,Place of worship,,,Liberiet,qﬁi Maxime LMA, Aug 2018
Lund_00914,Estate,Building,Mansion,Palace,Landmark,Stately home,Property,Official residence,Classical architecture,Château,Lundagérd 9,@ Viral Rami, Aug 2017
Lund_01449,Building,Architecture,,,,,,,,,Lundagérd,patrice bragard, Aug 2018
Lund_02803,Landmark,Building,Architecture,Medieval architecture,Classical architecture,Place of worship,Cathedral,City,Gothic architecture,Church,[T e T T T,"""% Jan Nilsson", Aug 2017
Lund_01146,Building,Property,Architecture,Neighbourhood,Stately home,Brick,,,,,Lund Cathedral,; P RS E, Aug 2017
Lund_02356,Grassland,Natural landscape,Natural environment,Prairie,Pasture,Land lot,Plain,Meadow,Vegetation,Field,Klosteréingshdjden,T Toheed Q, Aug 2016
Lund_00824,Estate,Building,Property,House,Architecture,Mansion,Landmark,Home,,,Lundagérd 9,@ Daniel Klein, Aug 2018
Lund_02354,Natural landscape,Nature,Nature reserve,Watercourse,Vegetation,Water resources,Bank,Natural environment,Stream,Water,Rinnebick Gorge : H,Q Ani Vera, Aug 2017
Lund_03179,Property,Building,Estate,House,Home,Manor house,,,,,Kulturen,A'» Seb Cartoon, Aug 2017
Lund_01727,Body of water,Waterway,Water,River,Canal,Tree,Reflection,Natural landscape,Bank,Sky,,, Aug 2017
Lund_02796,Tree,Branch,Twig,Woody plant,Plant,,,,,,"‘é"" [N","‘é"" [N", Aug 2018
Lund_01866,Building,Landmark,Property,Architecture,Town,Brick,Church,,,,[T TV HTET 3 T,a Abubakar M, Aug 2017
Lund_01900,Construction,Urban area,Roof,Reinforced concrete,,,,,,,Ideon Science Park,Ricardo Mendes, Aug 2017
Lund_01849,Landmark,Building,Architecture,Town,,,,,,,[T L He 1 BT,qﬁi Maxime LMA, Aug 2018
Lund_00832,Building,Estate,Mansion,Property,Palace,Official residence,Manor house,House,Classical architecture,,Lundagérd 9,@ Daniel Klein, Aug 2018
Lund_02593,Body of water,Water resources,Natural landscape,Nature,Riparian zone,Water,River,Watercourse,Bank,Stream,Vackert stopp pa mii,[0 P, Aug 2016
Lund_02562,Vegetation,Natural environment,Sky,Grassland,Hill,Land lot,Shrubland,Wilderness,Ecoregion,Grass,Klosteréingshdjden,Klosteréingshdjden, Aug 2016
Lund_00902,Water,Sky,Fountain,Architecture,,,,,,,Lundagérd,'aﬁ Gaston Ragnar R, Aug 2016
Lund_00261,Estate,Building,Mansion,Property,Palace,Landmark,Official residence,Architecture,,,Lundagérd,S GEERS Wy, Aug 2018
Lund_01339,Building,Estate,Landmark,Property,Palace,Mansion,Architecture,Stately home,,,qﬁi Maxime LMA,qﬁi Maxime LMA, Aug 2018
Lund_01487,Nature,Water resources,Pond,Natural landscape,Nature reserve,Fish pond,Reservoir,Watercourse,Botany,Water,Stadsparken,Parashar Dhapol, Aug 2017
Lund_00738,Building,Classical architecture,Mansion,Architecture,Landmark,Palace,Estate,House,Official residence,Sky,Lundagérd,G  Giliana Gallegra, Aug 2018
Lund_00117,Building,Medieval architecture,Architecture,Landmark,Church,Town,,,,,‘i’) [N,‘i’) [N, Aug 2018
Lund_02080,,,,,,,,,,,Lundagérd,""" Andi Varn Johani", Aug 2011
Lund_00793,Building,Palace,Estate,Mansion,Château,Official residence,Stately home,Manor house,Architecture,Classical architecture,[T TV HTET 3 T,a Abubakar M, Aug 2017
Lund_02282,Sky,Land lot,Pasture,Cloud,Grass,Grassland,,,,,CircleK,e Thanon Shamel, Aug 2016
Lund_01405,Estate,Property,Mansion,Building,House,Palace,,,,,Lundagérd,",jfa Lucian Gevelegia", Aug 2008
Lund_02327,Building,,,,,,,,,,CircleK 9,Jill Miller, Aug 2017
Lund_00306,Building,Landmark,Medieval architecture,Property,Architecture,Château,Stately home,Palace,Manor house,Classical architecture,Lundagérd,’@ MONICA MARIN(, Aug 2017
Lund_01331,Landmark,Medieval architecture,Architecture,Building,Classical architecture,Facade,Cathedral,Place of worship,Gothic architecture,,[ETLGEe0L E],E SRV VIN: Y, Aug 2017
Lund_02137,,,,,,,,,,,Kulturen g,@ Giulia Spada, Aug 2018
Lund_01697,Property,House,Building,Architecture,Estate,,,,,,Kulturen |,Kulturen |, Aug 2016
Lund_00781,Estate,Building,Mansion,Palace,Property,Château,Architecture,Landmark,Stately home,House,Lundagérd 9,S  Sheila Sang, Aug 2018
Lund_02299,Motor vehicle,Road,,,,,,,,,CircleK,e Thanon Shamel, Aug 2016
Lund_00172,Landmark,Architecture,Building,Tower,Church,,,,,,‘i’) [N,‘i’) [N, Aug 2018
Lund_02646,Hay,Field,Straw,Farm,Harvest,Grass family,,,,,Nobbel6vs mosse,i\ 1T T, Aug 2014
Lund_02236,Natural landscape,Tree,Nature reserve,Natural environment,Vegetation,Grass,Land lot,Biome,Pasture,Bank,Rinnebick Gorge : H,Q Ani Vera, Aug 2017
Lund_02556,Tree,Nature,Vegetation,Natural landscape,Nature reserve,Biome,Woody plant,Plant,,,Rinnebick Gorge : H,Q Ani Vera, Aug 2017
Lund_00782,Landmark,Building,Classical architecture,Architecture,Medieval architecture,Facade,Place of worship,Historic site,Church,Cathedral,[T L H e G B T,% Antonella Torrett, Aug 2017
Lund_02303,Grass,Lawn,Grassland,Natural environment,,,,,,,Lunds Pistolklubb :,@ Jonas Ezzi, Aug 2016
Lund_00041,Town,City,Building,Human settlement,Transport,Neighbourhood,Architecture,Downtown,Urban area,Street,"‘é"" [N","‘é"" [N", Aug 2018
Lund_02018,Garden,Natural landscape,Botanical garden,Property,Plant,Lawn,Flower,Landscaping,Botany,Yard,Botanical Garden,Joost van der Ga, Aug 2016
Lund_00020,Landmark,Estate,Building,Architecture,Tree,,,,,,Lund,@ Irena Zhang, Aug 2014
Lund_02780,Asphalt,Land lot,Property,Road,Morning,Grass,Driveway,,,,Masar Farhan,Masar Farhan, Aug 2017
Lund_01142,Landmark,Architecture,Building,Sky,Mansion,Stately home,Palace,,,,LG LT,@ Anamaria Dutcez, Aug 2016
Lund_00336,Landmark,Building,Architecture,Medieval architecture,Town,Classical architecture,City,Sky,Facade,,Lund Cathedral,A Ayu Hjalmarsson, Aug 2017
Lund_02741,Natural landscape,Body of water,Nature,Water,Vegetation,Natural environment,Bank,Nature reserve,River,Water resources,Nobbel6vs mosse,L 1T T, Aug 2014
Lund_01609,Classical architecture,Landmark,Architecture,Building,Facade,Sky,Palace,,,,Lundagérd 9,*9 Bogdan Tatar, Aug 2018
Lund_02821,Property,Building,,,,,,,,,Lundagérd,Lundagérd, Aug 2017
Lund_01317,Property,Building,,,,,,,,,Kulturen |,Kulturen |, Aug 2016
Lund_00794,Building,Landmark,Architecture,Palace,Château,Property,Facade,Estate,,,Lundagérd,G  Giliana Gallegra, Aug 2018
Lund_01311,Building,Estate,Property,Landmark,Mansion,Palace,Architecture,Official residence,Stately home,,Lundagérd 9,Maxime LMA, Aug 2018
Lund_01547,Architecture,Building,Landmark,Medieval architecture,Place of worship,Church,Sky,Classical architecture,Facade,,Lund Cathedral ¢,SH S.W, Aug 2017
Lund_00808,Urban area,City,Roof,Architecture,Building,Human settlement,Town,Metropolitan area,,,[TV T :,qf‘gu Kaveh Kamran, Aug 2017
Lund_01119,Building,Landmark,Architecture,Medieval architecture,Property,Facade,,,,,Lund Cathedral,; P RS E, Aug 2017
Lund_00406,Building,Estate,Landmark,Property,Architecture,Mansion,House,Château,Stately home,Manor house,Lundagérd 9,(o) JoL RV, Aug 2018
Lund_02862,Sky,Landmark,Grass,Natural landscape,Tree,,,,,,Lund Cathedral,@ (LTI, Aug 2017
Lund_02826,Estate,Building,Property,Town,House,,,,,,Kulturen |,Kulturen |, Aug 2016
Lund_02384,Sky,Cloud,Field,Cumulus,Daytime,Natural landscape,Tree,Farm,Horizon,Rural area,Northward view at Lt,S Sanbao Xu, Aug 2013
Lund_01985,Medieval architecture,Wall,Building,Architecture,Brick,,,,,,,, Aug 2016
Lund_00370,Building,Palace,Estate,Mansion,Architecture,Official residence,,,,,A LG,& Victor Kalbskopf, Aug 2016
Lund_01139,Estate,Property,Landmark,Building,Architecture,Mansion,Garden,Botany,,,Lundagérd,% William Térneber, Aug 2016
Lund_01935,Building,Property,Architecture,,,,,,,,Lundagérd,LGB AN, Aug 2017
Lund_03147,Building,Commercial building,Architecture,,,,,,,,CircleK 9,Jill Miller, Aug 2017
Lund_01503,Garden,House,Property,Estate,Home,Natural landscape,Building,Cottage,Shrub,Manor house,Botanical Garden,Satu Koivukanga, Aug 2017
Lund_00776,Building,Landmark,Estate,Mansion,Palace,Property,Architecture,House,Official residence,Sky,,, Aug 2016
Lund_02819,Estate,Building,Mansion,Landmark,Palace,Castle,Architecture,Château,Stately home,,Lundagérd,G) loanna Giannopo, Aug 2016
Lund_02815,Architecture,Landmark,Building,Medieval architecture,Sky,Place of worship,Cathedral,Classical architecture,Church,Facade,[T T o1 T 1T,[T T o1 T 1T, Aug 2017
Lund_01224,Urban area,City,Metropolitan area,Town,Roof,Human settlement,Building,Landmark,Cityscape,Suburb,[TV T :,qf‘gu Kaveh Kamran, Aug 2017
Lund_00144,Town,Pedestrian,Building,City,Human settlement,Street,Neighbourhood,,,,"‘é"" [N","‘é"" [N", Aug 2018
Lund_01188,Public space,Sky,Building,Plaza,Town square,City,Architecture,Town,Human settlement,Estate,A  Alejandro Carrillc,A  Alejandro Carrillc, Aug 2016
Lund_00767,Building,Estate,Landmark,Mansion,Property,Palace,Architecture,Sky,House,,Lundagérd,‘ Hakan Dahlstromn, Aug 2018
Lund_01954,Nature,Water resources,Water,Vegetation,River,Wilderness,Watercourse,Sky,Natural environment,Waterway,Rinnebidck Gorge,Jesper Bohlin, Aug 2017
Lund_01079,Landmark,Building,Mansion,Estate,Property,Palace,Architecture,Sky,Stately home,Official residence,Lundagérd,0 Joachim Maxein, Aug 2017
Lund_00815,Landmark,Town,Building,Architecture,Human settlement,City,,,,,[T TV HTET 3 T,a Abubakar M, Aug 2017
Lund_01558,Property,House,Cottage,Home,Building,Roof,Residential area,Real estate,Estate,,Kulturen,Daniel Jarl, Aug 2018
Lund_02063,Building,Estate,Palace,Stately home,Official residence,Mansion,Architecture,,,,Lundagérd,""" Andi Varn Johani", Aug 2011
Lund_01113,Estate,Building,Property,Palace,,,,,,,Lundagérd 9,*g Bogdan Tatar, Aug 2018
Lund_01768,Classical architecture,Building,Landmark,Palace,Architecture,Facade,,,,,[T TV HTET 3 T,a Abubakar M, Aug 2017
Lund_00699,Landmark,Building,Architecture,Medieval architecture,Classical architecture,Facade,Place of worship,Sky,Cathedral,Historic site,[T T o1 T 1T,:‘:_ King Lee, Aug 2018
Lund_02102,Property,Building,Architecture,Town,,,,,,,Carglass®Lund ¢,LEOF S, Aug 2016
Lund_01350,Building,Landmark,Property,Mansion,Palace,Estate,Architecture,Classical architecture,House,,Lundagérd,Annette Friberg, Aug 2018
Lund_01251,Estate,Landmark,Building,Mansion,,,,,,,Stadsparken,Banepus Taxkof, Aug 2016
Lund_02304,Natural landscape,Grassland,Natural environment,Plain,Sky,Field,Pasture,Land lot,Grass,Prairie,L EENE,RCLEEL 0], Aug 2016
Lund_02216,Property,Public space,,,,,,,,,Rostréttsgatan lekpl:,&% Florian Weissbac, Aug 2018
Lund_01459,Classical architecture,Landmark,Architecture,Building,Facade,,,,,,[T TV HTET 3 T,a Abubakar M, Aug 2017
Lund_01065,Landmark,Architecture,Building,Town,Medieval architecture,Sky,Church,City,Steeple,Place of worship,Lundagérd,[ Q‘ Ronan Watson, Aug 2017
Lund_01848,Landmark,Medieval architecture,Architecture,Building,Classical architecture,Place of worship,Facade,Sky,Church,Cathedral,Lund Cathedral,Dmitrii Goncharo, Aug 2017
Lund_00205,Tree,Public space,Urban area,Town,Neighbourhood,Human settlement,Street,Mode of transport,,,"‘é"" [N","‘é"" [N", Aug 2018
Lund_02044,Property,Building,Town,House,Architecture,,,,,,Direkt Optik ¢,ﬁ Meta Larsson, Aug 2018
Lund_00391,Property,Building,Estate,Stately home,Architecture,,,,,,Lund Cathedral,; P RS E, Aug 2017
Lund_01720,Landmark,Building,Palace,Architecture,Estate,,,,,,Lundagérd 9,LETEY T, Aug 2013
Lund_02053,Architecture,Landmark,Building,Sky,,,,,,,Lund Cathedral,Q Joost van der Ga, Aug 2016
Lund_02015,Landmark,Architecture,Water,,,,,,,,Lundagérd,j:_ Lucian Gevelegia, Aug 2008
Lund_00462,Estate,Palace,Sky,Building,Landmark,Château,Mansion,Stately home,Castle,Architecture,Lundagérd,&) Breogén Gémez, Aug 2017
Lund_02038,Sky,Cloud,Water,Reflection,Architecture,River,Morning,,,,Nova,@ Leif Tomas Olssc, Aug 2017
Lund_02901,Boutique,Room,,,,,,,,,Hep Cat Store,‘f ‘j Martin Lannerés, Aug 2018
Lund_02781,Sky,Cloud,Hill,Horizon,Grass,Meadow,,,,,Klosteréingshdjden,Klosteréingshdjden, Aug 2016
Lund_02579,Nature,Natural landscape,Land lot,Tree,Atmospheric phenomenon,Natural environment,Pasture,Grass,Nature reserve,Rural area,Nobbelbvs mosse,Q Peter Nordensva, Aug 2018
Lund_01912,Property,Building,Architecture,House,Town,,,,,,Lunds universitet Ke,Meta Larsson, Aug 2017
Lund_01046,Architecture,Landmark,Medieval architecture,Sky,Building,,,,,,Lund Cathedral,VR LEE L C e Ll, Aug 2017
Lund_00643,Garden,Botanical garden,Flower,Botany,Plant,Shrub,Estate,,,,Botanical Garden,Y @ Yvonn Johansso, Aug 2017
Lund_00963,Property,Building,Mansion,Estate,Landmark,House,Stately home,Architecture,Manor house,Château,Lund Cathedral,; P RS E, Aug 2017
Lund_01747,Building,Architecture,Classical architecture,Landmark,Facade,,,,,,Coop Konsum,J  Janus sobrzezeje, Aug 2018
Lund_01451,Estate,Property,Landmark,Mansion,Building,Architecture,Garden,Sky,House,,Lundagard ¢,Lundagard ¢, Aug 2016
Lund_00764,Landmark,Building,Medieval architecture,Architecture,,,,,,,Lundagérd,ESRVNTISVIN: Y, Aug 2017
