Unnamed: 0,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
1039,Lund_00814,Estate,Building,Green,Sky,Grass,Palace,Property,Mansion,House,Architecture,Lundagérd,é B umberto mazzoc, Aug 2014
1230,Lund_00908,Building,Architecture,Classical architecture,Landmark,Property,Estate,Mansion,Palace,House,Stately home,Lundagérd 9,[\ ), Aug 2014
1243,Lund_02271,Pasture,Grazing,Grassland,Herd,Natural environment,Meadow,Bovine,Farm,Rural area,Livestock,N[ AT T T,L Bengt Jiirs, Jun 2014
1304,Lund_00319,Estate,Building,Mansion,Property,Palace,Landmark,Stately home,Architecture,House,Château,Lundagérd,ke Elayan Abu Gharl, Sep 2014
1335,Lund_03171,Body of water,Water,Nature,River,Water resources,Natural landscape,Sky,Tree,Vegetation,Watercourse,Nobbel6vs mosse,L 1T T, May 2014
1402,Lund_01816,Tree,Spring,Grass,Landmark,Architecture,Daytime,Sky,Estate,House,Building,Lundagérd 8,@ Martin Giles, Mar 2014
1409,Lund_01764,Landmark,Building,Palace,Estate,Mansion,Château,Architecture,Stately home,Official residence,House,Lundagérd 9,Lundagérd 9, Apr 2014
1431,Lund_01499,Water,Pond,Estate,Garden,Property,Fountain,Water resources,Reflecting pool,Botany,Tree,Stadsparken 9,Daniel Klang, Jun 2014
1456,Lund_01817,Tree,Spring,Grass,Landmark,Architecture,Daytime,Sky,Estate,House,Building,Lundagérd 8,@ Martin Giles, Mar 2014
1463,Lund_02646,Hay,Field,Straw,Farm,Harvest,Grass family,Rural area,Tree,Agriculture,Plant,Nobbel6vs mosse,i\ 1T T, Aug 2014
1542,Lund_00491,Estate,Mansion,Building,Palace,Stately home,Château,Official residence,Architecture,House,Historic house,Lundagérd 9,J ) Jens Jensen, Jun 2014
1552,Lund_00458,Building,Estate,Palace,Property,Mansion,Landmark,Official residence,Stately home,Architecture,Classical architecture,Lundagérd 9,N Nadia Naji, Aug 2014
1554,Lund_01590,Urban area,City,Building,Aerial photography,Residential area,Human settlement,Metropolitan area,Property,Roof,Architecture,Elite Hotel Ideon ¢,Andrea Sonny, Jul 2014
1567,Lund_00457,Building,Estate,Palace,Property,Mansion,Landmark,Official residence,Stately home,Architecture,Classical architecture,Lundagérd 9,N Nadia Naji, Aug 2014
1613,Lund_01524,Estate,Property,Building,Mansion,Manor house,Château,Architecture,Stately home,Grass,House,Lundagérd 9,Adrian Wach, Apr 2014
1636,Lund_01401,Landmark,Architecture,Building,Sky,Church,Spire,Place of worship,Steeple,Facade,Medieval architecture,Lundagérd 9,Rudi Hayen, Jul 2014
1639,Lund_00234,Building,Estate,Landmark,Property,Mansion,Architecture,Sky,House,Palace,Stately home,Lundagérd 9,Rudi Hayen, Jul 2014
1701,Lund_00734,Metropolitan area,Urban area,Aerial photography,Residential area,City,Daytime,Bird's-eye view,Roof,Building,Neighbourhood,Sockerkokaregatan,S Stephan Andreas, Jun 2014
1808,Lund_02385,Sky,Cloud,Field,Hay,Pasture,Plain,Rural area,Straw,Farm,Grassland,Nobbel6vs mosse,L 1T T, Aug 2014
1835,Lund_00439,Château,Palace,Estate,Building,Mansion,Stately home,Castle,Architecture,House,Manor house,Lundagérd,) IDEVIGEEN T Yo, Aug 2014
1912,Lund_00389,Landmark,Building,Property,Estate,Palace,Stately home,Architecture,Classical architecture,Mansion,Plaza,Lundagérd 9,RY Rafal Kruk, Sep 2014
1945,Lund_01815,Tree,Spring,Grass,Landmark,Architecture,Daytime,Sky,Estate,House,Building,Lundagérd 8,@ Martin Giles, Mar 2014
1993,Lund_03137,Bird,Nature,Freshwater marsh,Nature reserve,Wildlife,Water,Green,Vegetation,Duck,Water bird,Nobbel6vs mosse,L 1T T, Jul 2014
2033,Lund_03109,Natural landscape,Field,Tree,Road,Sky,Grass,Crop,Rural area,Shrub,Plant,N[ AT T T,L Bengt Jiirs, Jul 2014
2042,Lund_01471,Estate,Building,Mansion,Palace,Property,Stately home,Château,Official residence,Landmark,Manor house,Lundagérd,umberto mazzoc, Aug 2014
2069,Lund_00427,Landmark,Medieval architecture,Building,Architecture,Classical architecture,Spire,Steeple,Church,Place of worship,Cathedral,Lundagérd 9,PR LED T, Aug 2014
2073,Lund_00647,Classical architecture,Building,Architecture,Landmark,Palace,Official residence,Facade,Estate,Mansion,Presidential palace,Lundagérd,Q‘* Alexandra Balab:, Jun 2014
2091,Lund_02283,Pasture,Grassland,Natural environment,Natural landscape,Meadow,Grass,Nature reserve,Grazing,Land lot,Rural area,N[ AT T T,i\ Bengt Jiirs, Jul 2014
2098,Lund_00599,Building,Landmark,Architecture,Town,City,Medieval architecture,Sky,Church,Facade,Cathedral,[T L He 1 BT,‘g) Bartosz Klukacze, Sep 2014
2116,Lund_02372,Hay,Field,Rural area,Straw,Grass,Farm,Sky,Plain,Landscape,Plant,N[ AT T T,i\ Bengt Jiirs, Aug 2014
2168,Lund_00766,Building,Classical architecture,Architecture,Landmark,Palace,Facade,Mansion,Estate,Official residence,House,Lundagérd &,.:@) Mario Hiibner, Jun 2014
2214,Lund_02101,Tree,Spring,Grass,Landmark,Architecture,House,Estate,Sky,Building,Plant,Lundagérd 8,@ Martin Giles, Mar 2014
2250,Lund_02064,Sky,Property,Landmark,Building,House,Mansion,Estate,Architecture,Cloud,Tree,Lundagérd 9,9 Rudi Hayen, Jul 2014
2255,Lund_02535,Natural landscape,Water,Natural environment,Floodplain,Sky,Winter,Tree,Bank,Wetland,River,Nobbel6vs mosse,L 1T T, Feb 2014
2288,Lund_00452,Classical architecture,Building,Landmark,Architecture,Property,Mansion,Estate,House,Palace,Official residence,Lundagérd 8,@ Martin Giles, Mar 2014
2358,Lund_02636,Water,Waterway,Natural landscape,Atmospheric phenomenon,Watercourse,Winter,Canal,Tree,Lane,Road,L TR DS,L =1 Te i), Feb 2014
2425,Lund_00301,Medieval architecture,Landmark,Building,Architecture,Property,Stately home,Estate,Castle,Château,Mansion,Lundagérd,@ yunus samet hali, Jan 2014
2443,Lund_00236,Classical architecture,Landmark,Building,Architecture,Palace,Facade,City,House,Mansion,Courthouse,Lundagérd 8,@ Martin Giles, Mar 2014
2472,Lund_01488,Building,Classical architecture,Architecture,Landmark,Palace,Facade,Mansion,Official residence,Estate,Stately home,Lundagérd,(elT. 1 W [V =, Oct 2014
2510,Lund_02441,Cloud,Sky,Natural landscape,Nature,Grassland,Cumulus,Daytime,Pasture,Natural environment,Green,Nobbel6vs mosse,3\ 1T T, May 2014
2548,Lund_02159,Building,Landmark,Architecture,Town,City,Human settlement,Town square,Facade,Sky,Plaza,Lundagérd 9,éb e, Aug 2014
2554,Lund_00524,Estate,Building,Mansion,Landmark,Palace,Stately home,Architecture,Classical architecture,Official residence,Presidential palace,?‘}m Goran Todorovié¢,?‘}m Goran Todorovié¢, Oct 2014
2573,Lund_02484,Field,Farm,Land lot,Natural landscape,Crop,Agriculture,Grassland,Grass,Rural area,Grass family,Nobbel6vs mosse,L 1T T, Jul 2014
2584,Lund_01895,Estate,Property,Building,Mansion,Stately home,Architecture,Manor house,Château,Grass,House,Lundagérd 9,Adrian Wach, Apr 2014
2639,Lund_02289,Natural landscape,Sky,Field,Road,Morning,Rural area,Dirt road,Trail,Grass,Horizon,N[ AT T T,i\ Bengt Jiirs, Jul 2014
2652,Lund_00697,Classical architecture,Building,Landmark,Architecture,Palace,Facade,Mansion,Official residence,Courthouse,Column,Lundagérd,Q‘* Alexandra Balab:, Jun 2014
2653,Lund_00398,Classical architecture,Landmark,Building,Architecture,Sky,Mansion,Estate,Palace,House,Facade,Lundagérd 8,@ Martin Giles, Mar 2014
2713,Lund_02016,Classical architecture,Building,Landmark,Architecture,Palace,Facade,Mansion,House,Official residence,Estate,Lundagérd,(elT. 1 W [V =, Oct 2014
2716,Lund_03174,Natural landscape,Natural environment,Water,Nature reserve,Bank,River,Waterway,Water resources,Floodplain,Tree,N[ AT T T,i\ Bengt Jiirs, Jul 2014
2728,Lund_00237,Classical architecture,Landmark,Building,Architecture,Palace,Facade,City,House,Mansion,Courthouse,Lundagérd 8,@ Martin Giles, Mar 2014
2742,Lund_02469,Transport,Sky,Iron,Vehicle,Road,Metal,Fence,Cloud,Sport venue,Race track,Klostergérdens IP,‘\ LT, May 2014
2764,Lund_02355,Shack,House,Building,Rural area,Shed,Log cabin,Grass,Tree,Cottage,Hut,N[ AT T T,L Bengt Jiirs, Jul 2014
2775,Lund_02001,Property,House,Residential area,Home,Estate,Building,Land lot,Real estate,Town,Roof,Kulturen 8,i\ 1T T, Mar 2014
2793,Lund_00453,Classical architecture,Building,Landmark,Architecture,Property,Mansion,Estate,House,Palace,Official residence,Lundagérd 8,@ Martin Giles, Mar 2014
