,Unnamed: 0,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y,string
19,19,Lund_02556,Tree,Nature,Vegetation,Natural landscape,Nature reserve,Biome,Woody plant,Plant,Botany,Rock,Rinnebick Gorge : H,Q Ani Vera, Aug 2017,"Tree,Nature,Vegetation,Natural landscape,Nature reserve,Biome,Woody plant,Plant,Botany,Rock"
20,20,Lund_03039,Property,Road,Road trip,House,Rural area,Sky,Home,Thoroughfare,Residential area,Tree,"Lund, Skane County",". Google, Inc.",,"Property,Road,Road trip,House,Rural area,Sky,Home,Thoroughfare,Residential area,Tree"
21,21,Lund_01073,Architecture,Landmark,Building,Place of worship,Medieval architecture,Cathedral,Classical architecture,Church,Sky,Gothic architecture,Lund Cathedral,[ SRV L,,"Architecture,Landmark,Building,Place of worship,Medieval architecture,Cathedral,Classical architecture,Church,Sky,Gothic architecture"
22,22,Lund_01228,Building,Steeple,Spire,Landmark,Church,Place of worship,Architecture,Chapel,Parish,Medieval architecture,Lund,Malte Lewan, Feb 2017,"Building,Steeple,Spire,Landmark,Church,Place of worship,Architecture,Chapel,Parish,Medieval architecture"
23,23,Lund_02343,Lawn,Grass,Biome,Tree,Yard,Backyard,Garden,Nature reserve,Botany,Plant community,Killbybadet,% Mohammad A.M,,"Lawn,Grass,Biome,Tree,Yard,Backyard,Garden,Nature reserve,Botany,Plant community"
24,24,Lund_02634,Natural landscape,Nature,Leaf,Tree,Vegetation,Reflection,Pond,Autumn,Garden,Plant,Botanical Garden,ka Dennis Frank, Oct 2018,"Natural landscape,Nature,Leaf,Tree,Vegetation,Reflection,Pond,Autumn,Garden,Plant"
25,25,Lund_01821,Landmark,Sky,Architecture,Building,Spire,Daytime,Church,Medieval architecture,Wall,Tower,[T T o1 T T T,C » David Ekberg, Dec 2016,"Landmark,Sky,Architecture,Building,Spire,Daytime,Church,Medieval architecture,Wall,Tower"
26,26,Lund_00691,Landmark,Architecture,Building,Sky,Steeple,Place of worship,Church,Town,Spire,Cathedral,Lund Cathedral,@ Mahmoud Chaar, Jul 2018,"Landmark,Architecture,Building,Sky,Steeple,Place of worship,Church,Town,Spire,Cathedral"
27,27,Lund_01353,Landmark,Building,Architecture,Estate,Stately home,Sky,Tree,Monument,Mansion,National historic landmark,Lundagérd 9,Nadia Naji, Aug 2014,"Landmark,Building,Architecture,Estate,Stately home,Sky,Tree,Monument,Mansion,National historic landmark"
28,28,Lund_02591,Architecture,Land lot,,,,,,,,,MAX IV Laboratory,S;. Bjarne Rosengrel, Jul 2016,
29,29,Lund_00832,Building,Estate,Mansion,Property,Palace,Official residence,Manor house,House,Classical architecture,Château,Lundagérd 9,@ Daniel Klein, Aug 2018,"Building,Estate,Mansion,Property,Palace,Official residence,Manor house,House,Classical architecture,Château"
30,30,Lund_01148,Estate,Building,Palace,Public space,College,Mansion,City,Architecture,Campus,Human settlement,Lundagérd,= LA,,"Estate,Building,Palace,Public space,College,Mansion,City,Architecture,Campus,Human settlement"
31,31,Lund_02708,Sky,Vegetation,Hill,Grassland,Grass,Cloud,Meadow,Land lot,Rural area,Prairie,Klosteréingshdjden,Klosteréingshdjden, Aug 2016,"Sky,Vegetation,Hill,Grassland,Grass,Cloud,Meadow,Land lot,Rural area,Prairie"
32,32,Lund_01701,Reflection,Reflecting pool,Waterway,Water,Property,Estate,Natural landscape,Bank,Home,Pond,Botanical Garden,@ Sumeet Ranjan S, May 2017,"Reflection,Reflecting pool,Waterway,Water,Property,Estate,Natural landscape,Bank,Home,Pond"
33,33,Lund_01205,Building,Landmark,Architecture,Estate,Classical architecture,Palace,Mansion,Sky,House,Official residence,Lundagérd 9,(%) Lucila Cetin, Jul 2016,"Building,Landmark,Architecture,Estate,Classical architecture,Palace,Mansion,Sky,House,Official residence"
34,34,Lund_01566,Architecture,Landmark,Medieval architecture,Classical architecture,Building,Place of worship,Cathedral,Facade,Historic site,Church,Lund Cathedral,Ivan Vidanovic, May 2017,"Architecture,Landmark,Medieval architecture,Classical architecture,Building,Place of worship,Cathedral,Facade,Historic site,Church"
35,35,Lund_02886,Fountain,Reflecting pool,Water,Garden,Botanical garden,Botany,Pond,Water feature,Tree,Park,Lundagérd ¢,a Kiryl Shantyka, Jun 2017,"Fountain,Reflecting pool,Water,Garden,Botanical garden,Botany,Pond,Water feature,Tree,Park"
36,36,Lund_02472,Sport venue,Stadium,Grass,Baseball field,Plain,Baseball park,Land lot,Grass family,Field,Plant,LELEITT RN {,ﬂ) Mr.Roman Lak, Apr 2017,"Sport venue,Stadium,Grass,Baseball field,Plain,Baseball park,Land lot,Grass family,Field,Plant"
37,37,Lund_00136,Spire,Steeple,Landmark,Church,Architecture,Building,Place of worship,Tree,Medieval architecture,Parish,‘ CeBpanuna [lyHi,‘ CeBpanuna [lyHi, Dec 2016,"Spire,Steeple,Landmark,Church,Architecture,Building,Place of worship,Tree,Medieval architecture,Parish"
38,38,Lund_02391,Road,Lane,Vehicle,Building,Car,Infrastructure,City,Thoroughfare,Asphalt,Parking lot,ICA Supermarket Lin,H  Henrik Lindberg, Jul 2017,"Road,Lane,Vehicle,Building,Car,Infrastructure,City,Thoroughfare,Asphalt,Parking lot"
39,39,Lund_00592,Building,Landmark,Property,Architecture,Estate,Mansion,Stately home,Medieval architecture,House,City,Lundagard ¢,Lundagard ¢, Mar 2017,"Building,Landmark,Property,Architecture,Estate,Mansion,Stately home,Medieval architecture,House,City"
40,40,Lund_00060,Architecture,Building,Medieval architecture,Landmark,Place of worship,Facade,Cathedral,Classical architecture,Church,Gothic architecture,Lund - Nov 2017,M) Manos Orfanos,,"Architecture,Building,Medieval architecture,Landmark,Place of worship,Facade,Cathedral,Classical architecture,Church,Gothic architecture"
41,41,Lund_01443,Landmark,Building,Architecture,Town,Spire,Steeple,City,Tree,House,Church,Lundagard ¢,Lundagard ¢, Mar 2017,"Landmark,Building,Architecture,Town,Spire,Steeple,City,Tree,House,Church"
42,42,Lund_01268,Building,House,Property,Estate,Mansion,Architecture,Tree,Historic house,Home,Palace,Lundagérd,@ ST EE ), Sep 2007,"Building,House,Property,Estate,Mansion,Architecture,Tree,Historic house,Home,Palace"
43,43,Lund_02401,Natural landscape,Sky,Water,Winter,Natural environment,Atmospheric phenomenon,Tree,Freezing,Cloud,Wetland,Nobbel6vs mosse,i\ 1T T, Feb 2014,"Natural landscape,Sky,Water,Winter,Natural environment,Atmospheric phenomenon,Tree,Freezing,Cloud,Wetland"
44,44,Lund_02697,Property,Building,Interior design,Houseplant,Room,Furniture,Plant,House,Table,Restaurant,0spAB Plant Departr,D Day Time, Sep 2018,"Property,Building,Interior design,Houseplant,Room,Furniture,Plant,House,Table,Restaurant"
45,45,Lund_02365,Crowd,Community,Competition event,Spring,Event,Recreation,Team,Grassland,Vehicle,Lawn,Klostergérdens IP,il VPN YWV 1o 3 o)), Jun 2018,"Crowd,Community,Competition event,Spring,Event,Recreation,Team,Grassland,Vehicle,Lawn"
46,46,Lund_02450,Property,House,Building,Chapel,Roof,Cottage,Architecture,Real estate,Home,Shed,\E e L ET T T T,6 IR DL, Dec 2016,"Property,House,Building,Chapel,Roof,Cottage,Architecture,Real estate,Home,Shed"
47,47,Lund_02211,Natural landscape,Natural environment,Vegetation,Nature reserve,Nature,Marsh,Wetland,Freshwater marsh,Grassland,Fen,|G AT,L 1T T, Jul 2014,"Natural landscape,Natural environment,Vegetation,Nature reserve,Nature,Marsh,Wetland,Freshwater marsh,Grassland,Fen"
48,48,Lund_01455,Landmark,Architecture,Sky,Building,Town,City,Facade,Church,Tower,Tourism,[T T o1 T 1T,FNEETY, Jul 2017,"Landmark,Architecture,Sky,Building,Town,City,Facade,Church,Tower,Tourism"
49,49,Lund_02094,Garden,Botanical garden,Park,Botany,Tree,Grass,Spring,Lawn,Estate,Plant,Stadsparken,Iratxe ec,,"Garden,Botanical garden,Park,Botany,Tree,Grass,Spring,Lawn,Estate,Plant"
50,50,Lund_00280,Castle,Property,Architecture,Building,Estate,Tree,Grass,Château,House,Stately home,Lundagérd,"%, Juliane Vigan6", Apr 2018,"Castle,Property,Architecture,Building,Estate,Tree,Grass,Château,House,Stately home"
51,51,Lund_00437,Estate,Building,Palace,Mansion,Landmark,Property,Architecture,Château,Stately home,House,Lundagérd,E Eugenio Giudicia, Sep 2017,"Estate,Building,Palace,Mansion,Landmark,Property,Architecture,Château,Stately home,House"
52,52,Lund_00616,Landmark,Architecture,Building,Classical architecture,Medieval architecture,Sky,Facade,Church,Place of worship,Historic site,Lund Cathedral,{‘j Pascal BASROGE, Jun 2018,"Landmark,Architecture,Building,Classical architecture,Medieval architecture,Sky,Facade,Church,Place of worship,Historic site"
53,53,Lund_02608,Basketball hoop,Basketball court,Basketball,Streetball,Tree,Net,Team sport,Sport venue,Basketball moves,,Linero street court,‘-B Lunds Basket, Jul 2018,
54,54,Lund_01930,Building,Property,Town,Architecture,Palace,Stately home,Facade,Almshouse,City,Estate,Folkuniversitetets fo,LRI IYCET, Mar 2017,"Building,Property,Town,Architecture,Palace,Stately home,Facade,Almshouse,City,Estate"
55,55,Lund_02888,City,Plaza,Town square,Public space,Town,Building,Human settlement,Property,Architecture,Sky,,,,"City,Plaza,Town square,Public space,Town,Building,Human settlement,Property,Architecture,Sky"
56,56,Lund_01103,Building,Estate,Property,Palace,Mansion,Architecture,Sky,Stately home,House,Château,Lundagérd,) ravio ERachici, May 2018,"Building,Estate,Property,Palace,Mansion,Architecture,Sky,Stately home,House,Château"
57,57,Lund_00962,Estate,Building,Palace,Mansion,Château,Stately home,Official residence,House,Architecture,Manor house,Lundagérd,A) Arulselvi Selvaraj, Oct 2015,"Estate,Building,Palace,Mansion,Château,Stately home,Official residence,House,Architecture,Manor house"
58,58,Lund_00430,Building,Landmark,Mansion,Palace,Estate,Property,Classical architecture,Stately home,Official residence,Architecture,Lundagérd,T Tomas Johanssc, Sep 2018,"Building,Landmark,Mansion,Palace,Estate,Property,Classical architecture,Stately home,Official residence,Architecture"
59,59,Lund_01670,Neighbourhood,Building,City,Town,Human settlement,Property,Landmark,Architecture,Public space,Plaza,Lundagérd,Q‘* Alexandra Balab:, Jun 2014,"Neighbourhood,Building,City,Town,Human settlement,Property,Landmark,Architecture,Public space,Plaza"
60,60,Lund_02241,Sky,Tree,Grass,Cloud,Pole,Grassland,Event,Crowd,Lawn,Mountain,Lunds Pistolklubb,Jonas Ezzi, Aug 2017,"Sky,Tree,Grass,Cloud,Pole,Grassland,Event,Crowd,Lawn,Mountain"
61,61,Lund_01876,Building,Architecture,Medieval architecture,Landmark,Wall,Church,Facade,Place of worship,Historic site,Arch,Lundagérd,AT U R G o),,"Building,Architecture,Medieval architecture,Landmark,Wall,Church,Facade,Place of worship,Historic site,Arch"
62,62,Lund_01681,Water,Tree,Reflection,Architecture,River,Pond,Reflecting pool,Bank,Watercourse,Landscape,Lundagérd,) ravio ERachici, May 2018,"Water,Tree,Reflection,Architecture,River,Pond,Reflecting pool,Bank,Watercourse,Landscape"
63,63,Lund_01794,Landmark,Architecture,Medieval architecture,Building,Sky,Cathedral,Gothic architecture,Place of worship,Classical architecture,Facade,Lundagérd,Zackarias Soderl, Mar 2017,"Landmark,Architecture,Medieval architecture,Building,Sky,Cathedral,Gothic architecture,Place of worship,Classical architecture,Facade"
64,64,Lund_01616,Natural landscape,Geological phenomenon,Water,Grass,Rural area,Tree,Waterway,Pasture,Ditch,Bank,Rinnebick Gorge 2,LR b,,"Natural landscape,Geological phenomenon,Water,Grass,Rural area,Tree,Waterway,Pasture,Ditch,Bank"
65,65,Lund_02400,Transport,Mode of transport,Architecture,Vehicle,Urban area,Building,City,Facade,Street,Bus stop,Linero pub & pizzeri,LR R EFA ¢, Apr 2018,"Transport,Mode of transport,Architecture,Vehicle,Urban area,Building,City,Facade,Street,Bus stop"
66,66,Lund_00802,Urban area,City,Roof,Architecture,Building,Human settlement,Town,Metropolitan area,Neighbourhood,Residential area,[TV T :,qf‘gu Kaveh Kamran, Aug 2017,"Urban area,City,Roof,Architecture,Building,Human settlement,Town,Metropolitan area,Neighbourhood,Residential area"
67,67,Lund_01795,Landmark,Steeple,Architecture,Building,Tree,Town,Sky,City,Urban area,Church,Lundagérd,Mandana Raghel, Jul 2018,"Landmark,Steeple,Architecture,Building,Tree,Town,Sky,City,Urban area,Church"
68,68,Lund_02771,Water,Water resources,Fountain,Watercourse,Water feature,Fun,Leisure,Tree,Garden,Pond,Coop Klostergarden,’ ‘f Magnus Erkenfel, Jul 2017,"Water,Water resources,Fountain,Watercourse,Water feature,Fun,Leisure,Tree,Garden,Pond"
69,69,Lund_01617,Sky,Landmark,Building,Architecture,Medieval architecture,Church,Facade,Wall,Cathedral,Historic site,[T T o1 T T T,AtilaK, Dec 2017,"Sky,Landmark,Building,Architecture,Medieval architecture,Church,Facade,Wall,Cathedral,Historic site"
70,70,Lund_00586,Landmark,Building,Sky,Architecture,Winter,Town,Water,Waterway,City,Tree,Bantorget,R Raul Monroy Gor,,"Landmark,Building,Sky,Architecture,Winter,Town,Water,Waterway,City,Tree"
71,71,Lund_02170,Building,Property,Architecture,Landmark,Grass,Estate,Stately home,Facade,Tree,Mansion,Historiska museet vi,Simius Taaravare, Oct 2016,"Building,Property,Architecture,Landmark,Grass,Estate,Stately home,Facade,Tree,Mansion"
72,72,Lund_02865,Sky,Landmark,Blue,Natural landscape,Estate,Building,Tree,Château,Architecture,Leaf,Botanical Garden,6 SN YN, Jul 2015,"Sky,Landmark,Blue,Natural landscape,Estate,Building,Tree,Château,Architecture,Leaf"
73,73,Lund_00468,Landmark,Sky,Architecture,Building,City,Town,Daytime,Human settlement,Facade,Steeple,Lund Cathedral :,@ Jun Luo, Jun 2017,"Landmark,Sky,Architecture,Building,City,Town,Daytime,Human settlement,Facade,Steeple"
74,74,Lund_01549,Landmark,Sky,Architecture,Building,Medieval architecture,Church,Facade,Place of worship,Wall,Convent,Lundagérd 9,@ Rene Wagner, Aug 2017,"Landmark,Sky,Architecture,Building,Medieval architecture,Church,Facade,Place of worship,Wall,Convent"
75,75,Lund_00574,Building,Palace,Landmark,Classical architecture,Architecture,Official residence,Mansion,Presidential palace,Estate,Stately home,AB Tetra Pak c,a FN, Aug 2017,"Building,Palace,Landmark,Classical architecture,Architecture,Official residence,Mansion,Presidential palace,Estate,Stately home"
76,76,Lund_01938,Landmark,Steeple,Architecture,Building,Spire,Tower,Church,Medieval architecture,Roof,Sky,Lund Cathedral,Leif Bengtsson, May 2016,"Landmark,Steeple,Architecture,Building,Spire,Tower,Church,Medieval architecture,Roof,Sky"
77,77,Lund_00095,Landmark,Architecture,Building,Daytime,City,Sky,Tower,Urban area,Tree,Facade,"C"":} Leszek A Gasien","C"":} Leszek A Gasien", Jul 2017,"Landmark,Architecture,Building,Daytime,City,Sky,Tower,Urban area,Tree,Facade"
78,78,Lund_01811,Garden,Botanical garden,Estate,Botany,Park,Tree,Building,Grass,Sky,Architecture,Lundagérd,’ Lisa Vult von Ste, Jul 2017,"Garden,Botanical garden,Estate,Botany,Park,Tree,Building,Grass,Sky,Architecture"
79,79,Lund_00287,Estate,Building,Landmark,Mansion,Architecture,Stately home,Palace,House,Historic house,Tree,Lundagérd 8,'?- Balézs Szab6, May 2017,"Estate,Building,Landmark,Mansion,Architecture,Stately home,Palace,House,Historic house,Tree"
80,80,Lund_02741,Natural landscape,Body of water,Nature,Water,Vegetation,Natural environment,Bank,Nature reserve,River,Water resources,Nobbel6vs mosse,L 1T T, Aug 2014,"Natural landscape,Body of water,Nature,Water,Vegetation,Natural environment,Bank,Nature reserve,River,Water resources"
81,81,Lund_01025,Landmark,Architecture,Sky,Building,Church,Town,Medieval architecture,Steeple,Place of worship,City,Lund Cathedral {,J Jason Chaikin, Oct 2016,"Landmark,Architecture,Sky,Building,Church,Town,Medieval architecture,Steeple,Place of worship,City"
82,82,Lund_01987,Water,Botany,Tree,Garden,Botanical garden,Park,Grass,Landscape,Plant,Landscaping,Lundagérd,l\i’ Stana Minincic, Jul 2017,"Water,Botany,Tree,Garden,Botanical garden,Park,Grass,Landscape,Plant,Landscaping"
83,83,Lund_00401,Classical architecture,Landmark,Building,Architecture,Sky,Mansion,Estate,Palace,House,Facade,Lundagérd 8,@ Martin Giles, Mar 2014,"Classical architecture,Landmark,Building,Architecture,Sky,Mansion,Estate,Palace,House,Facade"
84,84,Lund_02474,Road,Tree,Grass,Land lot,Natural landscape,Shrub,Trail,Lane,Thoroughfare,Woody plant,,, Aug 2017,"Road,Tree,Grass,Land lot,Natural landscape,Shrub,Trail,Lane,Thoroughfare,Woody plant"
85,85,Lund_02481,Building,Commercial building,Architecture,Corporate headquarters,Facade,Headquarters,Company,Mixed-use,Car,Vehicle,' Petar Novkovic,' Petar Novkovic, Sep 2016,"Building,Commercial building,Architecture,Corporate headquarters,Facade,Headquarters,Company,Mixed-use,Car,Vehicle"
86,86,Lund_02246,Natural landscape,Nature,Vegetation,Bank,River,Water,Rock,Watercourse,Nature reserve,Grass,Rinnebick Gorge 2,Kajsa Anka, Jun 2018,"Natural landscape,Nature,Vegetation,Bank,River,Water,Rock,Watercourse,Nature reserve,Grass"
87,87,Lund_02885,Water,Reflection,Pond,Bank,Water resources,Botany,House,Waterway,Building,River,Botanical Garden,R Roland Jevall, Jul 2017,"Water,Reflection,Pond,Bank,Water resources,Botany,House,Waterway,Building,River"
88,88,Lund_02167,Classical architecture,Landmark,Architecture,Building,Facade,Tourist attraction,Courthouse,Column,Seat of local government,Place of worship,Lundagérd 9,Dillon Cower, Sep 2018,"Classical architecture,Landmark,Architecture,Building,Facade,Tourist attraction,Courthouse,Column,Seat of local government,Place of worship"
89,89,Lund_02923,Property,Roof,Building,House,Home,Sky,Architecture,Cottage,Residential area,Facade,bread Lab,Hiisamettin Deni, Nov 2017,"Property,Roof,Building,House,Home,Sky,Architecture,Cottage,Residential area,Facade"
90,90,Lund_01747,Building,Architecture,Classical architecture,Landmark,Facade,Palace,Official residence,City,Metropolis,Presidential palace,Coop Konsum,J  Janus sobrzezeje, Aug 2018,"Building,Architecture,Classical architecture,Landmark,Facade,Palace,Official residence,City,Metropolis,Presidential palace"
91,91,Lund_02466,Brick,Property,Landmark,Architecture,Building,Brickwork,Wall,Sky,House,Tree,Lundagérd ¢,& Obbie Hadrian, Oct 2018,"Brick,Property,Landmark,Architecture,Building,Brickwork,Wall,Sky,House,Tree"
92,92,Lund_02898,Town,Landmark,Building,Architecture,City,Human settlement,Street,Urban area,Town square,Sky,Lund Cathedral,M Magnus Zimmer, Apr 2018,"Town,Landmark,Building,Architecture,City,Human settlement,Street,Urban area,Town square,Sky"
93,93,Lund_01079,Landmark,Building,Mansion,Estate,Property,Palace,Architecture,Sky,Stately home,Official residence,Lundagérd,0 Joachim Maxein, Aug 2017,"Landmark,Building,Mansion,Estate,Property,Palace,Architecture,Sky,Stately home,Official residence"
94,94,Lund_02822,Landmark,Building,Tree,Tower,Architecture,Observation tower,Estate,Château,City,Landscape,Lundagérd 9,P Pulak Barua, Sep 2017,"Landmark,Building,Tree,Tower,Architecture,Observation tower,Estate,Château,City,Landscape"
95,95,Lund_01544,Body of water,Water,Pond,Natural landscape,Nature,Water resources,Vegetation,Lake,Bank,Fish pond,Stadsparken,Mikael Boschian, Jul 2015,"Body of water,Water,Pond,Natural landscape,Nature,Water resources,Vegetation,Lake,Bank,Fish pond"
96,96,Lund_02500,Water,Sky,Leaf,Tree,Autumn,Fountain,Landmark,Daytime,Public space,Architecture,Lundagérd,%@‘ Orfeas Kalipolitis, Oct 2018,"Water,Sky,Leaf,Tree,Autumn,Fountain,Landmark,Daytime,Public space,Architecture"
97,97,Lund_01515,Classical architecture,Building,Landmark,Architecture,Palace,Estate,Château,Mansion,Official residence,Facade,university 3,Tim Schaefer, Jul 2009,"Classical architecture,Building,Landmark,Architecture,Palace,Estate,Château,Mansion,Official residence,Facade"
98,98,Lund_00701,Classical architecture,Landmark,Architecture,Building,Facade,Palace,Château,City,House,Mansion,Lundagérd 9,@ Rene Wagner, Aug 2017,"Classical architecture,Landmark,Architecture,Building,Facade,Palace,Château,City,House,Mansion"
99,99,Lund_01300,Estate,Property,Garden,Building,House,Botany,Mansion,Tree,Sky,Architecture,Lundagérd ¢,@ Ludovic Barth, Jul 2015,"Estate,Property,Garden,Building,House,Botany,Mansion,Tree,Sky,Architecture"
100,100,Lund_01953,Property,House,Home,Estate,Building,Real estate,Architecture,Mansion,Manor house,Historic house,Kulturen 8,' Lars Skough, Jul 2018,"Property,House,Home,Estate,Building,Real estate,Architecture,Mansion,Manor house,Historic house"
101,101,Lund_02475,Natural landscape,Grassland,Pasture,Trail,Land lot,Road,Grass,Tree,Line,Rural area,Nobbelbvs mosse,g \) Emanuel Johans, Apr 2017,"Natural landscape,Grassland,Pasture,Trail,Land lot,Road,Grass,Tree,Line,Rural area"
102,102,Lund_00538,Architecture,Building,Landmark,Medieval architecture,Tower,Church,Place of worship,City,Sky,Classical architecture,Lund Tourist Center,5‘3.‘..@ LU G, May 2016,"Architecture,Building,Landmark,Medieval architecture,Tower,Church,Place of worship,City,Sky,Classical architecture"
103,103,Lund_02767,Natural landscape,Water,Nature,Waterway,River,Vegetation,Water resources,Watercourse,Tree,Wilderness,Rinnebick Gorge,C ) Clara Isaksson, Oct 2018,"Natural landscape,Water,Nature,Waterway,River,Vegetation,Water resources,Watercourse,Tree,Wilderness"
104,104,Lund_01633,Architecture,Building,Medieval architecture,Landmark,Classical architecture,Place of worship,Cathedral,Gothic architecture,Facade,Church,Lund Cathedral,Erik Sven Mauroy, Apr 2017,"Architecture,Building,Medieval architecture,Landmark,Classical architecture,Place of worship,Cathedral,Gothic architecture,Facade,Church"
105,105,Lund_01242,Building,Estate,Mansion,Palace,Landmark,Architecture,Stately home,Official residence,Château,Historic house,Lundagérd 9,Zoltan Botka, Feb 2018,"Building,Estate,Mansion,Palace,Landmark,Architecture,Stately home,Official residence,Château,Historic house"
106,106,Lund_01324,Landmark,Architecture,Building,Medieval architecture,Sky,Tree,Castle,Château,Facade,Tourism,Lund Cathedral,ﬁ Sumeet Ranjan S, May 2017,"Landmark,Architecture,Building,Medieval architecture,Sky,Tree,Castle,Château,Facade,Tourism"
107,107,Lund_01470,Architecture,Building,Landmark,Medieval architecture,Arch,Facade,Wall,Cathedral,Place of worship,Tourism,[T T o1 T 1T,Artur Muc, Jun 2010,"Architecture,Building,Landmark,Medieval architecture,Arch,Facade,Wall,Cathedral,Place of worship,Tourism"
